Date,League,Home,Away,Diff_HT_P,Diff_Power,OU_Total,Goals_H_FT,Goals_A_FT,Odd_H,Odd_D,Odd_A
2025-07-23,J1 League  ,Urawa Red Diamonds,Shonan Bellmare,0.109090909,35.17666667,15.37,4,1,1.75,3.5,4.75
2025-07-23,K League 1  ,Jeonbuk Hyundai Motors,Gangwon FC,-38.05090909,-2.331666667,-3.5,2,0,1.65,3.7,4.75
2025-07-23,K League 1  ,Jeju SK FC,FC Seoul,13.62272727,12.375,-29.6,3,2,3.9,3.3,1.85
2025-07-23,K League 1  ,Ulsan HD FC,Daejeon Citizen,-44.23454545,-44.78075758,34.1,1,2,1.83,3.5,3.7
2025-07-23,Ecuador Campeonato Serie B  ,Leones del Norte,Guayaquil City,7.365277778,22.01,-11.64,2,1,2.1,2.9,3.5
2025-07-23,Primera Division de Colombiano-Apertura  ,Llaneros FC,Boyaca Chico,2.62,7.561666667,11.5,2,1,1.67,3.25,6
2025-07-23,Brazil Serie A  ,Ceara,Mirassol,-22.3625,-26.0625,-29.3,0,2,2.15,3.1,3.75
2025-07-23,Brazil Serie A  ,Fluminense RJ,Palmeiras,8.622857143,-25.72571429,39.88,1,2,2.88,3.1,2.63
2025-07-23,Brazil Serie B  ,Chapecoense SC,Volta Redonda,20.96444444,32.98555556,23.6,4,2,2,3.1,4.2
2025-07-23,Brazil Serie B  ,Gremio Novorizontin,Goias,-9.336666667,3.974444444,5.76,1,0,2.2,2.7,4.1
2025-07-23,Brazil Serie A  ,Corinthians Paulista (SP),Cruzeiro,-37.3875,-7.35,0.7,0,0,2.9,3,2.63
2025-07-23,Primera Division de Colombiano-Apertura  ,Atletico Junior Barranquilla,Union Magdalena,-11.45480519,6.628571429,12.8,4,1,1.5,4,7
2025-07-23,Ecuador Campeonato Serie B  ,SC Imbabura,Atletico Vinotinto,4.302222222,11.78,-4.6,1,0,2.5,3.1,2.63
2025-07-23,Brazil Serie B  ,Cuiaba,America MG,-6.556666667,40.23888889,14.8,3,1,2.15,3.2,3.5
2025-07-23,Brazil Serie A  ,Bragantino,Flamengo,33.24190476,-17.71698413,10.23,1,2,3.7,3.3,2.05
2025-07-23,Brazil Serie A  ,Santos,Internacional RS,-7.603928571,-4.367142857,-9.1,1,2,2.45,3.2,3.1
2025-07-23,Brazil Serie A  ,Vitoria BA,Sport Club do Recife,-7.4,18.8625,10.7,2,2,2.05,3.1,4.1
2025-07-23,Brazil Serie B  ,Amazonas FC,SC Paysandu Para,-53.9,-11.85,-10,1,1,2.3,3,3.4
2025-07-23,Primera Division de Colombiano-Apertura  ,La Equidad,Millonarios,-18.61,-21.44571429,-8.35,1,0,3.6,3.4,2.05
