Date,Time,League,Home,Away,Diff_HT_P,Diff_Power,OU_Total,M_HT_H,M_HT_A,M_H,M_A,Odd_H,Odd_D,Odd_A
2025-08-25,08:00,Chinese Super League  ,Beijing Guoan,Wuhan Three Towns,17.0,-7.0,0.43482492694753916,1.644772692303403,0.20814565694186796,-0.8385586952172873,-0.7032584689946413,1.36,5.5,7.0
2025-08-25,10:30,Latvian Higher League  ,FK Liepaja,Super Nova,29.61,-13.989999999999998,0.40610651909211404,0.8091512127056135,-1.18709683957303,-0.033937072611965234,2.050987936309711,1.27,4.75,9.5
2025-08-25,11:00,Finland Veikkausliga  ,FC Haka,SJK Seinajoen,4.0,-23.0,0.7652528911229917,-2.0989740704473014,-1.4878789855404273,-1.6408306924541172,-0.25603993697585536,3.7,3.9,1.75
2025-08-25,12:00,Finland Veikkausliga  ,Gnistan Helsinki,AC Oulu,-4.900000000000004,4.769999999999995,0.6119857468040071,0.1582134261461807,1.562124557468085,0.08296103069670933,-0.5876961154620399,1.85,4.0,3.25
2025-08-25,12:00,Lithuania - 1.Division  ,Siauliai,Suduva,14.29,13.599999999999994,0.9027231302037845,1.409040991875685,1.3270019660304215,0.94293759475306,0.39797039459750205,2.05,3.4,3.0
2025-08-25,13:00,Sweden Superettan  ,GIF Sundsvall,IK Oddevold,-16.08,-56.23,0.2887591798862525,0.11776257182624182,0.835767511110351,-0.5015282087696517,1.6457915405378536,2.25,3.25,2.88
2025-08-25,13:00,Sweden Superettan  ,Trelleborgs FF,Landskrona BoIS,-25.57,-36.730000000000004,0.3298711080562568,-1.1098133848801426,-0.3456405350009538,-1.3025606083379064,-0.2142923583797249,2.4,3.4,2.6
2025-08-25,13:00,Sweden Superettan  ,Falkenberg,Sandvikens IF,4.449999999999999,7.77,0.5332946914880592,0.7635585717646312,-0.08425182177221152,0.7484902021204191,-0.25900755156133076,2.0,3.4,3.3
2025-08-25,13:00,Swedish Allsvenskan  ,GAIS,Mjallby AIF,-14.900000000000004,-32.230000000000004,0.6107384454034663,1.2093137977318795,0.9078058054074447,0.5664932891993233,2.1864585540553962,2.25,3.4,3.1
2025-08-25,13:00,Norway Eliteserien  ,Sarpsborg 08,Kristiansund BK,-35.269999999999996,-15.649999999999995,0.6599352020828915,-1.1826744020270896,,-0.37376703945958756,,1.6,4.5,4.75
