Date,Time,League,Home,Away,Diff_HT_P,Diff_Power,OU_Total,M_HT_H,M_HT_A,M_H,M_A,Odd_H,Odd_D,Odd_A,Diff_MHT_Abs,Diff_MFT_Abs,M_Adv_HT,M_Adv_FT,Odd_H_Asi,Asian_Line,Odd_A_Asi,Goals_H_FT,Goals_A_FT
2025-09-05,14:30,Argentine Division 2  ,CA San Miguel,Almagro,-19.200000000000003,15.829999999999998,0.778257634219018,0.3082652943426227,1.7164623314858118,1.0569009963587677,0.0545571831310929,1.8,2.9,6.5,1.4081970371431891,1.0023438132276747,Away,Home,0.8,0.5,1.0,1,1
2025-09-05,14:30,Argentine Division 2  ,Defensores Unidos,Deportivo Moron,-33.980000000000004,-56.440000000000005,0.6502956627403591,-0.4070305371251166,1.336996469103752,-2.0651954995817143,1.3558040403641805,3.7,2.8,2.3,1.7440270062288687,3.420999539945895,Away,Away,0.88,0/-0.5,0.93,0,1
2025-09-05,14:45,Ireland First Division  ,Kerry FC,Cobh Ramblers,-16.84,-12.85,0.4646112088825351,0.4230757454070085,1.3299709091685108,0.1169983202919124,0.6014791123945805,3.8,3.7,1.83,0.9068951637615024,0.4844807921026681,Away,Away,0.98,-0.5,0.83,1,1
2025-09-05,14:45,Ireland First Division  ,Treaty United,UC Dublin,7.140000000000001,-14.3,0.5938913482234462,1.3624624255810476,0.0564343530450169,1.2706716006715928,1.5880309273650963,3.0,3.3,2.25,1.3060280725360307,0.3173593266935035,Home,Away,0.83,0/-0.5,0.98,1,0
2025-09-05,14:45,Ireland First Division  ,Longford Town,Finn Harps,33.00000000000001,8.210000000000008,0.4801497956123457,1.5348158614679468,-1.453933804814978,0.9830563403550197,0.6123260155793058,2.88,3.2,2.3,2.988749666282925,0.3707303247757137,Home,Home,1.0,0,0.8,1,1
2025-09-05,14:45,Ireland First Division  ,Wexford (Youth),Dundalk,-12.130000000000004,-23.520000000000003,0.4276101986080104,0.1996896271852304,-0.5219403274652161,-0.4447759549010745,0.7286649637674092,5.0,4.1,1.53,0.7216299546504465,1.1734409186684838,Home,Away,0.85,-1,0.95,0,0
2025-09-05,14:45,Ireland First Division  ,Bray Wanderers,Athlone Town,17.6,44.7,0.7015968408726205,2.027855855815766,1.2299739626458692,1.7346963209539652,-1.021857868420648,1.5,4.1,5.25,0.7978818931698968,2.7565541893746133,Home,Home,0.88,1,0.93,3,1
2025-09-05,16:00,Brazil Serie B  ,Amazonas FC,Remo Belem (PA),-39.29,-38.47,0.3582435178952376,-0.2808298945137045,0.9042942530012584,-0.1168956165578332,2.2350344174296337,2.2,3.0,3.6,1.185124147514963,2.351930033987467,Away,Away,0.78,0/0.5,1.03,1,3
2025-09-05,16:30,Colombia Primera B  ,Leones,Jaguares de Cordoba,-5.609999999999999,-51.9,0.621300388983882,0.5210749890005062,0.7687153927625451,-1.359031549462018,0.98626816196622,3.7,3.4,1.91,0.2476404037620388,2.345299711428238,Away,Away,1.0,-0.5/1,0.8,0,1
2025-09-05,17:30,Primera Division de Paraguay  ,Sportivo Luqueno,Guarani CA,-34.0,-17.990000000000002,0.3671468076874841,0.2421472534053185,1.6806967285995014,1.1833138906115592,1.384049915868025,3.1,3.3,2.2,1.4385494751941827,0.2007360252564658,Away,Away,0.88,0,0.93,2,3
2025-09-05,18:00,USL Championship  ,Lexington,North Carolina,-0.1799999999999995,7.229999999999993,0.388251829756801,0.3418164798778691,-1.2493629498213434,0.2185920266520838,0.5008615944043009,2.2,3.4,3.0,1.5911794296992126,0.282269567752217,Home,Away,0.95,0/0.5,0.85,2,1
2025-09-05,18:00,Argentine Division 2  ,Estudiantes de Caseros,Nueva Chicago,-21.44,-2.130000000000001,0.5828686486366408,-0.3057365113229554,0.7940553579722797,-0.0081143392683907,0.8415292939601111,1.85,3.1,5.0,1.099791869295235,0.8496436332285019,Away,Away,0.93,0.5,0.88,2,0
2025-09-05,18:00,Brazil Serie B  ,SC Paysandu Para,Volta Redonda,-30.540000000000003,-12.369999999999996,0.2887591798862525,-1.2124103738918302,-0.4570849132351272,-1.549402107602354,-0.8145586536696707,2.15,3.2,3.5,0.7553254606567029,0.7348434539326831,Away,Away,0.95,0.5,0.85,1,2
2025-09-05,19:00,Argentine Division 2  ,Temperley,Talleres Rem de Escalada,0.9599999999999964,30.23,0.5872823527375668,0.7876398570015792,0.2517192625652682,1.381382667618667,-1.2034169977813345,1.67,3.25,6.5,0.535920594436311,2.584799665400001,Home,Home,1.0,1,0.8,1,0
2025-09-05,19:00,Argentine Division 2  ,Colegiales,San Martin Tucuman,11.449999999999996,4.98,0.4431145481297845,1.317544322515965,0.25776941980988,1.0521485852225465,0.8449365913081947,3.25,2.75,2.55,1.059774902706085,0.2072119939143516,Home,Home,0.75,0/-0.5,1.05,2,0
2025-09-05,19:00,Uruguay Primera Division  ,Defensor Sporting Montevideo,CA Juventud,-7.889999999999997,8.190000000000005,0.5484822716279321,0.3904696459163924,0.8159823105819454,0.8519869995677942,1.2213799377378236,2.2,3.2,3.25,0.4255126646655529,0.3693929381700294,Away,Away,0.85,0,0.95,1,0
2025-09-05,19:00,Categoria Primera A  ,Deportivo Pasto,Boyaca Chico,6.710000000000001,20.910000000000004,0.599595091345361,1.4055672451889198,0.7846940906376744,2.025294515614484,-0.0862988745300168,2.0,3.0,4.33,0.6208731545512455,2.111593390144501,Home,Home,0.78,0.5,1.03,2,0
2025-09-05,19:00,Argentine Division 2  ,All Boys,Gimnasia yTiro,-15.04,4.289999999999997,0.2943063449134591,-0.3060077135339382,0.4331029767587329,0.344514567039218,0.3315704575302813,2.5,2.8,3.2,0.7391106902926712,0.0129441095089367,Away,Home,0.73,0,1.08,1,1
2025-09-05,20:10,Argentina Cup  ,Club Atletico Tigre,Independiente Rivadavia,-31.010000000000005,-6.330000000000002,0.4910391069606107,0.7713136473736517,1.603009534909409,1.4452503644511183,1.308817083837408,2.88,3.0,2.63,0.8316958875357572,0.1364332806137105,Away,Home,0.93,0/0.5,0.88,1,3
2025-09-05,20:30,Brazil Serie B  ,Coritiba PR,Ferroviaria SP,-21.000000000000004,-3.8000000000000007,0.4808471286536959,1.4852929884675037,0.7173927996751642,1.24021579601066,0.4673814509493736,1.65,3.5,5.75,0.7679001887923395,0.7728343450612865,Home,Home,1.05,1,0.75,4,0
