Date,League,Home,Away,Diff_HT_P,Diff_Power,OU_Total,Odd_H_Asi,Asian_Line,Odd_A_Asi,Goals_H_FT,Goals_A_FT
2025-08-04,Finland Veikkausliga  ,Ilves Tampere,Gnistan Helsinki,12.009444444444446,-3.811666666666661,21.5,1.0,1.5,0.8,2,2
2025-08-04,Finland Veikkausliga  ,HJK Helsinki,Inter Turku,11.262500000000005,0.0125000000000028,28.200000000000003,1.0,0/0.5,0.8,1,4
2025-08-04,Ireland First Division  ,Treaty United,Kerry FC,2.606666666666662,32.645,29.8,1.0,0.5,0.8,1,1
2025-08-04,Ireland First Division  ,Cobh Ramblers,Wexford (Youth),-14.94333333333334,0.125,21.5,0.9,0.5/1,0.9,4,0
2025-08-04,Ireland First Division  ,Athlone Town,UC Dublin,-12.510000000000003,-35.01500000000001,-3.5,0.78,0/-0.5,1.03,1,2
2025-08-04,Ireland First Division  ,Finn Harps,Bray Wanderers,-34.971666666666664,-14.93166666666666,4.799999999999997,0.9,-0.5,0.9,2,2
2025-08-04,Lithuania - 1.Division  ,FK Banga Gargzdai,Siauliai,-0.80833333333333,-19.52,-24.32,0.8,0,1.0,1,0
2025-08-04,Ireland First Division  ,Dundalk,Longford Town,-9.76833333333333,-7.269999999999992,-10.190000000000005,0.95,1.5,0.85,4,1
2025-08-04,Lithuania - 1.Division  ,Dziugas Telsiai,Hegelmann Litauen,22.49555555555556,5.154444444444447,-7.5,0.95,-0.5,0.85,0,1
2025-08-04,Lithuania - 1.Division  ,FK Zalgiris Vilnius,Kauno Zalgiris,-6.777777777777775,-45.02777777777778,-27.94,0.85,-0.5,0.95,1,2
2025-08-04,Sweden Superettan  ,Umea FC,Falkenberg,-7.487499999999999,-7.525,3.1999999999999997,0.9,-0.5,0.9,0,2
2025-08-04,Swedish Allsvenskan  ,IFK Goteborg,Degerfors IF,-26.1125,-11.075,28.200000000000003,0.85,0.5/1,0.95,3,0
2025-08-04,Peru Primera Division  ,UTC Cajamarca,Cusco FC,-32.91,-35.910000000000004,10.0,0.8,0,1.0,1,2
2025-08-04,Primera Division de Paraguay  ,Sportivo Ameliano,Clud Libertad,9.85131868131868,2.9507692307692253,-13.47,0.9,-0.5,0.9,0,4
2025-08-04,Bolivia Primera Division  ,Oriente Petrolero,Aurora,37.893928571428575,-6.481071428571431,22.6,0.88,0/0.5,0.93,3,0
2025-08-04,Peru Primera Division  ,Sport Boys,AD Tarma,8.635555555555555,-12.342222222222222,16.060000000000002,1.0,0/0.5,0.8,1,0
2025-08-04,Colombia Primera B  ,Real Santander,Bogota FC,-21.274285714285718,0.0714285714285694,25.68,0.8,0.5,1.0,4,0
2025-08-04,Bolivia Primera Division  ,Always Ready,Nacional Potosi,4.37285714285715,17.257142857142867,-11.5,0.85,1/1.5,0.95,1,0
2025-08-04,Primera Division de Paraguay  ,Deportivo Recoleta,Guarani CA,-34.4178021978022,-27.802637362637363,11.67,0.78,0/-0.5,1.03,2,3
2025-08-04,Brazil Serie B  ,Athletic Club MG,Atletico Clube Goianiense,-6.653333333333336,-3.230000000000002,25.85,0.95,0/0.5,0.85,1,1
2025-08-04,Chile Primera Division  ,Universidad de Chile,Cobresal,-29.825000000000003,15.200000000000005,28.200000000000003,0.93,1.5,0.88,0,1
2025-08-04,Brazil Serie A  ,Santos,Juventude,30.15857142857143,21.59285714285714,17.099999999999998,1.03,1,0.83,3,1
2025-08-04,Colombia Primera B  ,Leones,Barranquilla FC,26.816666666666663,-2.1633333333333304,60.900000000000006,0.85,0/0.5,0.95,2,2
2025-08-04,Chile Primera B  ,D. Concepcion,Deportes Santa Cruz,-24.002380952380957,-18.902857142857144,-2.0999999999999943,0.85,0.5,0.95,1,0
2025-08-04,Primera Division de Ecuador  ,Delfin SC,Vinotinto de Ecuador,-10.769090909090906,-2.5700000000000003,-13.8,0.8,0/0.5,1.0,3,3
2025-08-04,Peru Primera Division  ,Cienciano,Los Chankas,-29.86,-29.849999999999994,40.0,0.83,0/0.5,0.98,3,0
2025-08-04,Argentine Division 2  ,Defensores de Belgrano,Deportivo Moron,-37.31499999999999,-39.85333333333333,-3.5,0.75,0,1.05,0,0
2025-08-04,Brazil Serie B  ,Cuiaba,Volta Redonda,-9.062222222222228,33.01888888888889,1.400000000000002,0.83,0.5/1,0.98,2,0
2025-08-04,Colombia Primera B  ,Real Cartagena,Real Soacha Cundinamarca,-16.198181818181823,-7.909090909090908,31.60000000000001,0.95,0.5/1,0.85,0,0
