Date,League,Home,Away,Diff_HT_P,Diff_Power,OU_Total,Goals_H_FT,Goals_A_FT,Odd_H_Asi,Asian_Line,Odd_A_Asi
2025-08-06,Japan Emperor's Cup  ,Hiroshima Sanfrecce,Shimizu S-Pulse,-21.876666666666665,13.63833333333334,-6.580000000000002,3.0,0.0,0.85,0.5/1,0.95
2025-08-06,Japan Emperor's Cup  ,FC Tokyo,Cerezo Osaka,-4.963333333333328,17.459999999999994,34.779999999999994,2.0,1.0,0.9,-0.5,0.9
2025-08-06,Japan Emperor's Cup  ,Machida Zelvia,Kyoto Sanga,19.133006993006987,-22.428041958041952,43.06,1.0,0.0,0.88,0.5,0.93
2025-08-06,Japan Emperor's Cup  ,SC Sagamihara,Blaublitz Akita,10.538951048951043,-11.373426573426572,4.93,1.0,1.0,1.0,0/-0.5,0.8
2025-08-06,Japan Emperor's Cup  ,Kashima Antlers,Avispa Fukuoka,15.743426573426571,31.528391608391612,-21.7,2.0,2.0,0.83,0.5,0.98
2025-08-06,Japan Emperor's Cup  ,Montedio Yamagata,Urawa Red Diamonds,-10.01181818181818,-17.062727272727273,6.059999999999999,1.0,2.0,1.0,-0.5,0.8
2025-08-06,India Durand Cup,East Bengal,Namdhari FC,-27.71333333333333,-9.36166666666666,-12.500000000000004,1.0,0.0,0.93,1,0.88
2025-08-06,Norway Adeccoligaen  ,Sogndal,Hodd,-11.709365079365076,-4.97825396825397,5.739999999999998,2.0,1.0,0.85,0.5,0.95
2025-08-06,Norway Adeccoligaen  ,Stabaek,Aalesund FK,5.572142857142862,-1.954642857142856,36.9,1.0,2.0,0.98,0,0.83
2025-08-06,Norway Adeccoligaen  ,Ranheim IL,Moss,-3.938888888888892,28.983611111111102,31.730000000000004,0.0,0.0,0.85,0.5,0.95
2025-08-06,Norway Adeccoligaen  ,Raufoss,Kongsvinger,19.78388888888888,27.293611111111108,-2.1999999999999997,2.0,2.0,1.0,-0.5,0.8
2025-08-06,Norway Adeccoligaen  ,Egersunds IK,Lillestrom,-13.547777777777776,-4.857499999999998,47.32,0.0,2.0,1.0,-1,0.8
2025-08-06,Norway Adeccoligaen  ,Asane Fotball,Lyn Oslo,-29.925,3.837499999999999,25.700000000000003,0.0,2.0,0.83,0,0.98
2025-08-06,Norway Adeccoligaen  ,Start Kristiansand,Odd Grenland,-33.675,33.8375,30.700000000000003,2.0,0.0,1.0,0.5/1,0.8
2025-08-06,UEFA Europa League  ,FK Rigas Futbola skola,KuPs,15.871666666666666,8.341666666666661,-7.670000000000002,1.0,2.0,0.83,0.5,0.98
2025-08-06,Norway Adeccoligaen  ,Skeid Oslo,Mjondalen IF,-11.97714285714286,8.93428571428571,8.399999999999997,1.0,2.0,0.98,0.5,0.83
2025-08-06,Bolivia Primera Division  ,San Antonio Bulo Bulo,Bolivar,17.04142857142857,17.04142857142857,5.610000000000003,0.0,1.0,0.88,-0.5,0.93
2025-08-06,Peru Primera Division  ,Atletico Grau,Deportivo Garcilaso,-5.114444444444448,-23.794444444444444,-2.900000000000002,1.0,1.0,0.78,0.5/1,1.03
2025-08-06,Venezuela Cup  ,Metropolitanos FC,Caracas FC,4.783888888888887,-9.340000000000003,23.6,2.0,2.0,0.8,0/0.5,1.0
2025-08-06,Ecuador Cup,Guayaquil City,Mushuc Runa,20.33272727272728,27.52090909090909,-22.300000000000004,3.0,1.0,1.0,0/-0.5,0.8
2025-08-06,Venezuela Cup  ,Portuguesa FC,Estudiantes Merida FC,-27.71111111111111,25.67333333333333,20.9,0.0,0.0,1.0,0.5,0.8
2025-08-06,Venezuela Cup  ,Academia Puerto Cabello,Monagas SC,-9.311666666666664,0.7766666666666708,-4.200000000000006,2.0,3.0,0.9,0/0.5,0.9
2025-08-06,Colombia Copa Cup  ,Tigres Zipaquira,America de Cali,33.38666666666666,20.896666666666658,-11.93,0.0,1.0,0.78,-1,1.03
2025-08-06,Copa do Brasil  ,Atletico Mineiro,Flamengo,-2.30142857142857,-6.561428571428568,-2.6500000000000057,0.0,1.0,0.85,0/-0.5,0.95
2025-08-06,Copa do Brasil  ,Bragantino,Botafogo RJ,5.323333333333331,-22.68055555555556,-41.0,0.0,1.0,0.93,0,0.88
2025-08-06,Copa do Brasil  ,Atletico Paranaense,Sao Paulo,-56.425,-25.675,-21.4,1.0,0.0,0.8,0,1.0
2025-08-06,Peru Primera Division  ,EM Deportivo Binacional,Alianza Atletico Sullana,-26.91,-23.88,-36.0,2.0,0.0,0.83,0/0.5,0.98
2025-08-06,Venezuela Cup  ,Deportivo Tachira,Deportivo Rayo Zuliano,23.28888888888889,60.83000000000001,-15.2,4.0,1.0,0.8,1/1.5,1.0
2025-08-06,USL Championship  ,Rhode Island,Detroit City,-33.28,-25.02,-37.9,1.0,0.0,1.03,0.5,0.78
2025-08-06,USL Championship  ,Hartford Athletic,Miami FC,-14.263333333333334,-4.273333333333337,-29.52,2.0,0.0,0.95,0.5/1,0.85
2025-08-06,Ecuador Cup,SC Imbabura,Independiente del Valle,-43.88166666666666,-45.35666666666667,15.4,0.0,1.0,1.0,-1,0.8
2025-08-06,Colombia Copa Cup  ,Atletico Huila,Atletico Junior Barranquilla,-11.899519230769236,4.718365384615385,-1.66,1.0,1.0,0.78,-0.5,1.03
2025-08-06,Copa do Brasil  ,Fluminense RJ,Internacional RS,0.125,26.3875,5.700000000000001,1.0,1.0,0.85,0/0.5,0.95
2025-08-06,Copa do Brasil  ,Palmeiras,Corinthians Paulista (SP),-0.4469444444444426,-16.301111111111105,-47.74,0.0,2.0,0.78,0.5/1,1.03
2025-08-06,USL Championship  ,Monterey Bay FC,FC Tulsa,-37.4375,-11.15,15.7,2.0,3.0,0.95,0/-0.5,0.85
