Date,Home,Away,Diff_HT_P,Diff_Power,OU_Total,Goals_H_FT,Goals_A_FT,Odd_H,Odd_D,Odd_A
2025-07-25,Manly United,Western Sydney Wanderers AM,-10.104358974358972,-7.388241758241754,25.98,3,2,1.75,4.0,3.5
2025-07-25,Jaro,Vaasa VPS,26.556428571428565,-7.686071428571431,64.73,2,2,3.4,3.4,2.0
2025-07-25,Cork City,Sligo Rovers,-5.755606060606068,9.07,23.619999999999997,2,3,2.15,3.25,3.0
2025-07-25,Galway United,Waterford United,-14.856969696969696,-1.4136363636363605,53.8,2,4,1.9,3.4,3.6
2025-07-25,Derry City,Bohemians,15.091666666666669,2.581666666666667,48.95,1,1,2.35,3.3,2.8
2025-07-25,Deportes Recoleta,D. Concepcion,-24.393809523809526,-6.46380952380952,66.89000000000001,2,3,2.25,3.25,3.0
2025-07-25,FC Nacional Asuncion,General Caballero LJM,10.087820512820512,5.6946153846153855,16.049999999999997,3,0,1.8,3.4,4.33
2025-07-25,Academia del Balompie Boliviano,Aurora,-3.6875,-18.6625,25.65,1,2,3.1,3.4,2.0
2025-07-25,Sport Huancayo,Juan Pablo II College,13.516666666666667,13.52777777777778,53.67,5,1,1.4,4.33,7.5
2025-07-25,Boca Juniors De Cali,Inter Palmira,11.030158730158726,-28.98523809523809,29.02,2,0,4.75,3.7,1.7
2025-07-25,2 de Mayo PJC,Sportivo Luqueno,26.927179487179487,-21.017692307692304,21.51,3,2,2.1,3.1,3.5
2025-07-25,Real Oruro,Always Ready,15.327857142857148,-17.83464285714286,40.27,1,1,3.4,3.4,1.95
2025-07-25,Sarmiento Junin,Lanus,-7.8622222222222256,10.467777777777776,18.06,0,2,3.75,2.8,2.25
2025-07-25,Deportes Limache,Nublense,-15.261785714285717,-6.140000000000001,16.89,0,1,2.3,3.4,2.8
2025-07-25,Atletico Huila,Tigres Zipaquira,2.631666666666666,10.109999999999992,8.100000000000001,1,0,1.6,3.3,7.0
2025-07-25,EM Deportivo Binacional,UTC Cajamarca,6.801111111111114,-6.548888888888889,23.61,0,0,2.05,3.3,3.5
2025-07-25,Deportes Tolima,Deportivo Pereira,8.516103896103894,15.15376623376623,56.260000000000005,1,0,2.05,3.1,4.0
2025-07-25,Academia Puerto Cabello,Zamora Barinas,13.341363636363637,13.710454545454546,37.85,3,0,2.2,3.3,3.0
2025-07-25,Columbus Crew,Orlando City,-11.224999999999998,-27.71666666666667,49.760000000000005,1,3,1.95,3.75,3.4
2025-07-25,New England Revolution,Montreal Impact,-27.899999999999995,-28.68,16.14,1,3,1.8,3.8,4.1
2025-07-25,CD El Nacional,Libertad FC,0.1199999999999992,-35.86,-2.0,2,2,2.05,3.3,3.5
2025-07-25,Colegiales,Quilmes,25.05818181818182,1.3563636363636355,4.77,1,0,2.9,2.75,2.8
2025-07-25,Club Atlético Unión,Club Atletico Tigre,-5.9300000000000015,3.1099999999999994,21.39,0,0,2.2,3.0,3.8
2025-07-25,Independiente Rivadavia,Belgrano,-3.2633333333333354,0.1222222222222235,51.39,0,0,2.3,3.0,3.5
2025-07-25,FC Dallas,New York City FC,-9.876212121212124,-28.458787878787877,16.0,3,4,2.45,3.5,2.75
2025-07-25,Gimnasia yTiro,San Martin Tucuman,21.798181818181817,-2.5936363636363677,50.69,2,0,2.88,2.6,3.0
2025-07-25,Atletico Nacional Medellin,Independiente Santa Fe,3.241250000000001,-23.3025,60.0,1,1,1.57,4.0,5.75
2025-07-25,San Diego FC,Nashville,-12.668531468531468,-19.72545454545454,38.01,1,0,2.2,3.75,2.9
2025-07-25,Los Angeles FC,Portland Timbers,-15.898333333333332,8.049999999999997,25.05,0,1,1.44,4.75,6.5
