Date,League,Home,Away,Diff_HT_P,Diff_Power,OU_Total,Goals_H_FT,Goals_A_FT,Odd_H,Odd_D,Odd_A
2025-08-13,NSW Premier League  ,Sydney United,Blacktown City Demons,0.0,0.0,-2.8700000000000045,1.0,0.0,2.2,3.7,2.55
2025-08-13,NSW Premier League  ,Central Coast Mariners (Youth),Marconi Stallions,-17.11,0.0,-3.289999999999999,1.0,0.0,7.5,6.25,1.22
2025-08-13,Japan Emperor's Cup  ,Tokyo Verdy,Nagoya Grampus,-3.079999999999997,7.700000000000006,21.77,1.0,2.0,2.38,3.0,3.2
2025-08-13,Lithuania - 1.Division  ,FK Banga Gargzdai,Hegelmann Litauen,34.0,0.0,0.3693504954308796,0.0,1.0,3.9,3.1,1.85
2025-08-13,Iceland Division 1  ,Thor Akureyri,Volsungur husavik,0.0,25.0,0.3772155434418294,2.0,5.0,1.75,4.1,3.4
2025-08-13,Iceland Division 1  ,UMF Selfoss,HK Kopavogs,-23.350000000000005,-19.600000000000005,0.2331988695440449,3.0,0.0,3.4,3.9,1.8
2025-08-13,Iceland Division 1  ,Leiknir Reykjavik,Fylkir,-6.799999999999997,8.900000000000002,0.2950586817241478,1.0,0.0,3.0,3.6,2.0
2025-08-13,Iceland Division 1  ,Keflavik,Grindavik,-17.899999999999995,-44.6,0.5504425517505545,4.0,0.0,1.45,4.75,4.5
2025-08-13,Iceland Division 1  ,Fjolnir,UMF Njardvik,-27.100000000000005,-35.7,0.4933506614832105,1.0,2.0,4.1,4.5,1.55
2025-08-13,Iceland Division 1  ,Throttur Reykjavik,IR Reykjavik,-37.5,-50.0,0.4393224649743193,3.0,1.0,2.38,3.7,2.38
2025-08-13,Ecuador Cup,San Antonio(ECU),Manta FC,14.81,38.10000000000001,0.2722438348240567,1.0,0.0,2.55,2.88,2.7
2025-08-13,Colombia Primera B  ,Cucuta,Deportes Quindio,-22.24,18.660000000000004,0.3710358290917687,2.0,2.0,1.57,3.7,5.75
2025-08-13,Copa Sudamericana  ,Bolivar,Cienciano,13.330000000000002,-5.01,0.5473877189999504,2.0,0.0,1.5,4.5,5.75
2025-08-13,Bolivia Primera Division  ,Aurora,Blooming,-47.09,-21.280000000000005,0.5171460124108394,4.0,1.0,1.6,3.9,4.75
2025-08-13,Copa Libertadores  ,Cerro Porteno,Estudiantes La Plata,-1.3199999999999967,28.330000000000005,0.416269833800974,0.0,1.0,2.7,3.0,2.9
2025-08-13,Argentina Cup  ,Atletico Tucuman,Newells Old Boys,4.92,-19.700000000000006,0.500282354349595,2.0,3.0,2.8,2.8,2.8
2025-08-13,USA Open Cup  ,Philadelphia Union,New York Red Bulls,18.910000000000004,32.51,0.4806017485078181,3.0,2.0,1.7,3.7,4.33
2025-08-13,Colombia Copa Cup  ,Real Soacha Cundinamarca,Deportes Tolima,3.31,2.099999999999998,0.4966018014677409,1.0,0.0,4.75,3.9,1.6
2025-08-13,Categoria Primera A  ,Deportivo Cali,Union Magdalena,-30.03,9.08,0.3734313530770082,3.0,1.0,1.8,3.1,5.5
2025-08-13,Copa Sudamericana  ,Alianza Lima,Universidad Catolica,23.55,8.979999999999997,0.406591410393686,2.0,0.0,1.75,3.6,4.75
2025-08-13,Copa Libertadores  ,Flamengo,Internacional RS,2.230000000000005,10.000000000000004,0.3833901080279515,1.0,0.0,1.65,3.6,5.5
2025-08-13,Copa LFPB  ,Club Guabira,Independiente Petrolero,16.25,-8.600000000000005,0.624482405927031,3.0,1.0,1.3,4.5,7.5
2025-08-13,Copa Sudamericana  ,Universidad de Chile,Independiente,-1.549999999999999,-8.520000000000007,0.5855486494514792,1.0,0.0,2.7,3.0,2.88
