Date,Time,League,Home,Away,Diff_HT_P,Diff_Power,OU_Total,Z_HT_H,Z_HT_A,Z_H,Z_A,Odd_H,Odd_D,Odd_A
2025-08-20,06:00,J1 League  ,Machida Zelvia,Gamba Osaka,34.51,13.450000000000003,0.5838750493028604,0.8442728485543924,-1.633367589252156,-0.4197260922423821,-0.8048788652128294,1.73,3.75,4.5
2025-08-20,06:00,Korean FA Cup  ,Jeonbuk Hyundai Motors,Gangwon FC,-19.3,5.819999999999997,0.4685287901306885,0.7775285090412933,1.1333721373715229,0.2848471665665754,-0.2570541188972367,1.65,3.7,4.75
2025-08-20,06:00,J1 League  ,Hiroshima Sanfrecce,Vissel Kobe,-14.629999999999994,-5.329999999999991,0.4685287901306885,-1.984061877085119,-0.5657499840394852,0.10502900869790945,1.4560963903054178,2.3,3.25,3.1
2025-08-20,06:30,Korean FA Cup  ,Gwangju Football Club,Bucheon FC 1995,9.960000000000003,-8.769999999999994,0.5690299090266907,-1.2634937199111467,-1.4007838573538078,-1.6901169303410573,0.3164518726746352,1.55,3.6,5.75
2025-08-20,07:35,Chinese FA Cup  ,Beijing Guoan,Yunnan Yukun,19.08,-15.190000000000001,0.4482653368934978,1.6652107847040494,0.5284689823066472,-0.8122756607879605,0.4448330312525317,1.7,4.5,4.0
2025-08-20,07:35,Chinese Super League  ,Zhejiang Professional FC,Tianjin Tigers,-2.7300000000000004,12.679999999999994,0.7568041924647531,0.7684459086226809,1.2144135800321183,1.1918046342889281,0.008677900032155099,1.9,3.8,3.7
2025-08-20,12:00,Lithuania - 1.Division  ,Siauliai,Kauno Zalgiris,17.290000000000003,-18.200000000000003,0.9027231302037845,2.404879758906145,-0.01754955541569987,0.6917585787236178,1.6312689946259296,6.0,3.8,1.5
2025-08-20,12:00,Lithuania - 1.Division  ,FK Zalgiris Vilnius,DFK Dainava Alytus,-18.799999999999994,-16.900000000000002,0.31838338454014437,-0.7450891537689635,0.27505471957371314,-1.1938724608596998,-0.7002298610997229,1.29,4.75,9.5
2025-08-20,12:00,Lithuania - 1.Division  ,FK Panevezys,FK Banga Gargzdai,-33.040000000000006,-12.799999999999997,0.38825182975680106,-0.7477185101234501,0.6084889886854166,0.33139502860327735,0.37644439314576567,1.73,3.5,4.5
2025-08-20,18:00,Copa Sudamericana  ,Cienciano,Bolivar,-14.55,-4.5,0.5869261792799402,-1.6897285515035863,-0.02120424567763284,-0.09670595640279012,-0.12276317601862712,2.0,3.75,3.5
2025-08-20,18:00,Brazil Serie A  ,Juventude,Vasco da Gama,-23.369999999999997,22.300000000000004,0.5731649423555483,0.48370806902192653,1.080050714111631,0.0294981205904803,-1.2160644625165362,3.1,3.2,2.4
2025-08-20,18:00,Copa Libertadores  ,Estudiantes La Plata,Cerro Porteno,-4.030000000000003,13.40000000000001,0.4567641086666668,-0.6800021832341959,-0.14684103313176486,1.0936372990519234,-0.1876756433042311,1.62,3.7,6.25
2025-08-20,19:00,USA USL League One Cup,Loudoun United,Sacramento Republic FC,-7.0,16.25,0.37343135307700825,-0.6279427221764404,-0.5761818650521446,0.9049572777522583,0.20782206420520147,2.8,3.3,2.3
2025-08-20,19:00,USA USL League One Cup,Rhode Island,Birmingham Legion,-25.529999999999994,-38.93,0.37207309701481084,-2.363649924344214,-1.473047583066851,-2.306814855131284,1.211305873430347,1.95,3.3,3.6
2025-08-20,19:30,Bolivia Primera Division  ,Independiente Petrolero,Jorge Wilstermann,18.589999999999996,14.3,0.441146255857228,,,,,1.53,3.9,5.0
2025-08-20,20:30,Argentine Division 2  ,San Martin Tucuman,Deportivo Maipu,-14.589999999999996,-30.700000000000003,0.4470356322986687,0.11152827906837826,-0.3997433526253101,-0.6227787613923362,0.6252447648846646,1.7,3.4,4.75
2025-08-20,20:30,USA USL League One Cup,San Antonio,Hartford Athletic,-42.24,-4.5,0.4818598725684715,-0.033592388608895206,1.303525227681669,0.554700781533796,-0.11896038790055428,1.85,3.5,3.6
2025-08-20,20:30,Copa Sudamericana  ,Universidad Catolica,Alianza Lima,14.18,3.3300000000000036,0.3508274153372417,0.08895338752027662,-0.8165194672868111,0.6372077315310405,-0.5847609576500034,1.7,3.7,5.0
2025-08-20,20:30,Categoria Primera A  ,Millonarios,Union Magdalena,-18.78,0.7999999999999972,0.47334521759523474,-0.9598751456674846,1.2363926276497146,-0.17813223479706827,-1.2805491778870883,1.42,4.2,8.0
2025-08-20,20:30,Brasil Campeonato do Nordeste Primeira  ,Bahia,Ceara,-11.100000000000001,11.100000000000005,0.5332946914880592,0.7672028222266162,0.8827660931567305,1.3331131147103337,0.3171551425305219,2.05,3.1,3.6
2025-08-20,20:30,Copa Libertadores  ,Internacional RS,Flamengo,-3.629999999999995,-15.599999999999998,0.4392296598809398,-0.06660527543423582,-1.2070449445858553,0.03454530253674071,0.6383098017936363,3.2,3.0,2.45
2025-08-20,20:30,Copa Sudamericana  ,Independiente,Universidad de Chile,-11.94,26.660000000000004,0.377550858943828,0.16097902850028395,0.2741793067970371,1.1836329728615327,-1.1162297165605977,1.62,3.8,5.75
