Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_H_Asi,Asian_Line,Odd_A_Asi,Odd_Over25,OverLine,Odd_Under25,Result,Games_Home,Games_Away,Aggression_Home_HT,HandScore_Home_HT,Aggression_Away_HT,HandScore_Away_HT,Aggression_Home,HandScore_Home,OverScore_Home,Aggression_Away,HandScore_Away,OverScore_Away,Diff_HT_P,Diff_Power,OU_Total,Goals_H_FT,Goals_A_FT
2716649,2025-09-21,03:30,K League 1  ,Ulsan HD FC,FC Anyang,1.7,4.0,4.5,0.85,0.5/1,0.95,1.88,2.5/3,1.93,A,14.0,14.0,0.7857142857142857,-19.28,-0.7142857142857143,19.27,0.8571428571428571,-4.299999999999997,0.2679886791947528,-1.0,-4.299999999999997,0.3876400468214041,-38.55,0.0,0.6556287260161568,0,0
2716650,2025-09-21,03:30,K League 1  ,Suwon FC,Gangwon FC,2.8,3.3,2.45,1.03,0,0.78,1.85,2.5,1.95,H,14.0,14.0,-0.1428571428571428,20.71,-0.4285714285714285,32.879999999999995,-0.1428571428571428,19.27,0.4535045882751561,-0.7142857142857143,12.13,0.1634449073720273,-12.169999999999996,7.139999999999999,0.6169494956471834,1,0
2716651,2025-09-21,06:00,K League 1  ,FC Seoul,Gwangju Football Club,1.91,3.4,4.0,0.95,0.5,0.85,1.98,2/2.5,1.83,A,14.0,14.0,0.7857142857142857,5.029999999999999,-0.1428571428571428,3.6,1.0,-4.299999999999997,0.3876400468214041,-0.2142857142857142,19.27,0.2138050993040052,1.4299999999999993,-23.57,0.6014451461254093,3,0
2716652,2025-09-21,06:00,K League 1  ,Pohang Steelers,Jeju SK FC,1.95,3.4,3.9,0.95,0.5,0.85,1.95,2.5,1.85,H,15.0,15.0,0.3333333333333333,3.3299999999999965,-0.6,26.0,0.2,17.33,0.3011663015105079,-0.7333333333333333,0.0,0.2480922525974644,-22.67,17.33,0.5492585541079723,1,0
2726357,2025-09-21,06:00,Chinese Super League  ,Beijing Guoan,Shanghai Port,2.2,3.8,2.9,0.93,0/0.5,0.88,1.95,3.5,1.85,A,11.0,11.0,0.7272727272727273,32.7,0.5454545454545454,32.7,0.7272727272727273,-0.8700000000000009,0.2127095754398804,0.6363636363636364,32.7,0.5649937852319398,0.0,-33.57,0.7777033606718202,2,3
2726358,2025-09-21,07:35,Chinese Super League  ,Tianjin Tigers,Shenzhen Xinpengcheng,1.75,3.8,4.33,0.95,0.5/1,0.85,1.88,2.5/3,1.93,A,11.0,12.0,0.2727272727272727,5.5,-0.75,-15.8,0.2727272727272727,10.92,0.1681775812035096,-0.9166666666666666,-20.81,0.3906175873976139,21.3,31.73,0.5587951686011234,1,0
2703072,2025-09-21,08:00,Swedish Allsvenskan  ,IFK Goteborg,Brommapojkarna,1.75,4.0,4.2,1.0,1,0.8,1.98,3/3.5,1.83,D,11.0,12.0,0.4545454545454545,1.8200000000000005,-0.75,20.83,0.8181818181818182,1.8200000000000005,0.2800877556899882,-0.6666666666666666,9.2,0.2127095754398804,-19.01,-7.379999999999999,0.4927973311298686,0,1
2703073,2025-09-21,08:00,Swedish Allsvenskan  ,Hammarby,Hacken,1.55,4.5,5.0,0.8,1,1.0,1.9,2.5/3,1.9,D,12.0,11.0,0.9166666666666666,-4.170000000000004,-0.1818181818181818,1.8200000000000005,0.9166666666666666,6.669999999999996,0.2537781703934222,-0.1818181818181818,8.190000000000001,0.0632237623122272,-5.990000000000005,-1.520000000000005,0.3170019327056494,4,0
2726359,2025-09-21,08:00,Chinese Super League  ,Shanghai Shenhua,Chengdu Rongcheng FC,2.15,3.6,3.1,0.9,0/0.5,0.9,1.85,2.5/3,1.95,A,11.0,11.0,1.0,14.499999999999996,0.6363636363636364,5.5,1.0,-3.6000000000000014,0.3967732199795652,0.4545454545454545,17.229999999999993,0.3541973474990897,8.999999999999996,-20.829999999999995,0.7509705674786549,1,1
2711546,2025-09-21,08:30,Norway Eliteserien  ,Rosenborg BK,Bodo Glimt,4.0,4.0,1.8,0.8,-0.5/1,1.0,1.95,3/3.5,1.85,D,9.0,10.0,0.8888888888888888,15.599999999999998,0.9,40.0,1.0,4.399999999999995,0.0198903713271305,1.0,6.0,0.3126695474501863,-24.4,-1.600000000000005,0.3325599187773168,1,1
