Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_H_Asi,Asian_Line,Odd_A_Asi,Odd_Over25,OverLine,Odd_Under25,Result,Games_Home,Games_Away,Aggression_Home_HT,HandScore_Home_HT,Aggression_Away_HT,HandScore_Away_HT,Aggression_Home,HandScore_Home,OverScore_Home,Aggression_Away,HandScore_Away,OverScore_Away,Diff_HT_P,Diff_Power,OU_Total,M_HT_H,M_H,M_HT_A,M_A,Diff_MHT_Abs,Diff_MFT_Abs,M_Adv_HT,M_Adv_FT,Goals_H_FT,Goals_A_FT
2719980,2025-10-08,01:00,K League 2  ,Cheonan City,Busan I Park,3.7,3.75,1.85,0.98,0/-0.5,0.83,1.95,2.5,1.85,A,16.0,15.0,-0.625,-9.360000000000005,0.4,8.669999999999996,-0.5625,-8.8,0.3011663015105079,0.2666666666666666,26.700000000000003,0.1089727610318281,-18.03,-35.5,0.410139062542336,-0.2181148593410117,0.024776570806023,0.4802843235127128,1.6803964879857007,0.6983991828537246,1.6556199171796775,Away,Away,0.0,0.0
2719981,2025-10-08,01:00,K League 2  ,Gyeongnam FC,Jeonnam Dragons,3.3,3.6,2.05,1.0,0/-0.5,0.8,1.85,2.5,1.95,A,16.0,15.0,-0.3125,3.1000000000000005,0.1333333333333333,3.3299999999999965,-0.25,3.7999999999999936,0.2799923761135083,-0.0666666666666666,17.33,0.1982422808259466,-0.2299999999999959,-13.530000000000005,0.4782346569394549,-0.2206598432003526,-0.2066834786389413,0.5288509478001877,1.0639814611893703,0.7495107910005403,1.270664939828312,Away,Away,2.0,3.0
2719982,2025-10-08,01:00,K League 2  ,Incheon United,Suwon Samsung Bluewings,2.3,3.1,3.2,0.95,0/0.5,0.85,1.95,2.5/3,1.85,D,15.0,16.0,0.8,-2.6700000000000035,0.4375,7.509999999999998,0.9333333333333332,28.67,0.2480922525974644,0.75,16.2,0.357464427565077,-10.18,12.470000000000002,0.6055566801625414,0.2806198808362267,3.176448673512989,0.1422150872616201,0.9580098489711038,0.1384047935746065,2.2184388245418853,Home,Home,1.0,1.0
2719983,2025-10-08,03:30,K League 2  ,Ansan Greeners FC,Chungnam Asan,3.9,3.6,1.85,0.8,-0.5/1,1.0,1.98,2.5,1.83,A,16.0,16.0,-0.5625,5.0,0.0625,13.75,-0.6875,-13.14,0.1416443505196105,0.0,5.6599999999999975,0.184809825547528,-8.75,-18.8,0.3264541760671385,1.7420973861259714,-0.2123151100122982,1.2725273822021426,-0.5296374401082281,0.4695700039238288,0.3173223300959299,Home,Home,0.0,1.0
2719984,2025-10-08,03:30,K League 2  ,Bucheon FC 1995,Seongnam FC,2.45,3.3,2.75,0.83,0,0.98,1.98,2.5,1.83,D,15.0,16.0,0.4,3.9899999999999967,-0.5,25.6,0.4,15.309999999999995,0.3011663015105079,-0.4375,24.4,0.1416443505196105,-21.610000000000007,-9.090000000000003,0.4428106520301184,1.017762141256214,1.6931473651629747,1.273148262342181,0.5636130715064511,0.2553861210859669,1.1295342936565236,Away,Home,1.0,0.0
2881277,2025-10-08,06:00,J-League Cup  ,Kawasaki Frontale,Kashiwa Reysol,2.45,3.6,2.7,0.8,0,1.0,1.8,2.5/3,2.0,A,16.0,17.0,0.75,-20.0,-0.0588235294117647,7.659999999999996,0.75,5.6599999999999975,0.4440393186673406,0.0,18.219999999999995,0.1982422808259466,-27.66,-12.56,0.6422815994932872,-0.9234401797236256,0.282191227585044,1.0757055130816278,2.1445418169190544,1.9991456928052531,1.8623505893340104,Away,Away,3.0,1.0
2881278,2025-10-08,06:00,J-League Cup  ,Yokohama FC,Hiroshima Sanfrecce,4.75,3.6,1.66,0.85,-0.5/1,0.95,2.03,2/2.5,1.78,A,17.0,17.0,-0.0588235294117647,-1.2199999999999998,0.6470588235294118,6.480000000000002,0.0588235294117647,0.5799999999999961,0.0817937909246571,0.8823529411764706,14.669999999999998,0.173094861439049,-7.700000000000002,-14.090000000000002,0.2548886523637061,0.3414805299973016,-0.6283494064485616,0.4843630414961042,1.198172924927566,0.1428825114988026,1.826522331376128,Away,Away,0.0,2.0
2815607,2025-10-08,16:30,Categoria Primera A  ,Aguilas Doradas,Dep.Independiente Medellin,3.2,3.25,2.25,0.88,0/-0.5,0.93,1.85,2/2.5,1.95,A,15.0,20.0,0.4666666666666667,-0.7000000000000064,0.1,-0.5,0.5333333333333333,-16.010000000000005,0.3195073356553728,0.1,25.0,0.1627855436366285,-0.2000000000000064,-41.010000000000005,0.4822928792920013,-1.0214478149514523,-2.1743386873338237,-0.0354322591820928,0.2869571509250339,0.9860155557693596,2.461295838258857,Away,Away,2.0,1.0
2881416,2025-10-08,17:00,Ecuador Cup,Leones del Norte,Club Sport Emelec,3.0,2.7,2.55,0.93,0/-0.5,0.88,1.98,2/2.5,1.83,A,11.0,15.0,0.9090909090909092,-9.970000000000002,-0.7333333333333333,23.99,1.0,8.190000000000001,0.1681775812035096,-0.8,26.700000000000003,0.1634449073720273,-33.96,-18.51,0.3316224885755369,-0.0997926790242502,0.1046025405774657,0.6825547557365316,0.0012731071058724,0.7823474347607817,0.1033294334715933,Away,Home,0.0,0.0
2734835,2025-10-08,18:00,Brazil Serie A  ,Atletico Mineiro,Sport Club do Recife,1.61,3.7,6.0,0.83,1,1.03,1.98,2.5,1.88,D,11.0,13.0,1.0,-12.700000000000005,-0.9230769230769232,13.799999999999994,1.0,5.5,0.1681775812035096,-0.9230769230769232,0.8099999999999983,0.1932574619052465,-26.5,4.690000000000001,0.361435043108756,-1.6546191553038438,0.2365483277966515,0.2912219667884005,-0.6426036336823803,1.9458411220922445,0.8791519614790317,Away,Home,3.0,1.0
