Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_H_Asi,Asian_Line,Odd_A_Asi,Odd_Over25,OverLine,Odd_Under25,Result,Games_Home,Games_Away,Aggression_Home_HT,HandScore_Home_HT,Aggression_Away_HT,HandScore_Away_HT,Aggression_Home,HandScore_Home,OverScore_Home,Aggression_Away,HandScore_Away,OverScore_Away,Diff_HT_P,Diff_Power,OU_Total,M_HT_H,M_H,M_HT_A,M_A,Diff_MHT_Abs,Diff_MFT_Abs,M_Adv_HT,M_Adv_FT
2702675,2025-10-12,01:00,J3 League  ,Gainare Tottori,SC Sagamihara,2.2,3.1,3.0,0.75,0,1.05,2.03,2.5,1.78,H,15.0,15.0,-0.2,23.33,-0.1333333333333333,-5.990000000000001,-0.3333333333333333,46.7,0.1982422808259466,-0.4666666666666667,2.01,0.2138050993040052,29.32,44.690000000000005,0.4120473801299518,2.6629034809140983,2.419931024218805,-0.023310330103185558,0.35184565601633,2.686213811017284,2.0680853682024747,Home,Home
2702677,2025-10-12,01:00,J3 League  ,Zweigen Kanazawa FC,Azul Claro Numazu,1.53,3.9,4.75,0.83,0.5/1,0.98,1.8,2.5,2.0,A,13.0,15.0,0.6153846153846154,5.389999999999997,-0.6,0.0,0.6923076923076923,6.200000000000003,0.4236888781333764,-0.8666666666666667,-9.31,0.1982422808259466,5.389999999999997,15.510000000000003,0.621931158959323,-0.15912628021618905,-1.3087957079709243,-0.3418796026386746,-0.890522586545392,0.18275332242248557,0.4182731214255323,Home,Away
2702678,2025-10-12,01:00,J3 League  ,Kochi United,FC Gifu,3.0,3.3,2.1,0.95,0,0.85,1.9,2.5,1.9,A,14.0,15.0,0.1428571428571428,-26.440000000000005,-0.1333333333333333,8.01,0.3571428571428571,-4.299999999999997,0.2138050993040052,-0.1333333333333333,-0.7000000000000064,0.2480922525974644,-34.45,-3.5999999999999908,0.46189735190146963,-1.040059873332088,-0.4853452617167305,0.7553427599683442,-0.6370236629282008,1.7954026333004323,0.1516784012114703,Away,Home
2702679,2025-10-12,01:00,J3 League  ,Thespa Kusatsu,Vanraure Hachinohe FC,3.3,3.4,1.95,0.8,0/-0.5,1.0,1.98,2.5,1.83,A,15.0,14.0,0.0,-8.0,0.2142857142857142,-5.730000000000003,0.4,-16.010000000000005,0.0704742064361041,0.2142857142857142,17.099999999999998,0.0127218861122916,-2.269999999999997,-33.11,0.08319609254839569,-0.2326576605315549,-1.2638700649116936,-0.6649721711330854,1.3985981283924538,0.4323145106015305,2.6624681933041474,Home,Away
2702683,2025-10-12,01:00,J3 League  ,Tochigi SC,Fukushima United FC,1.8,3.3,3.8,0.9,0.5/1,0.9,1.85,2.5,1.95,A,15.0,15.0,0.4666666666666667,7.309999999999996,-0.7333333333333333,19.3,0.6666666666666666,8.669999999999996,0.1517610069469123,-0.6666666666666666,13.299999999999994,0.357464427565077,-11.990000000000006,-4.629999999999997,0.5092254345119893,0.6707021017238628,-0.04513494477210145,1.0310288370491207,0.8132152384950486,0.36032673532525794,0.8583501832671501,Away,Away
2719987,2025-10-12,01:00,K League 2  ,Busan I Park,Bucheon FC 1995,2.05,3.25,3.25,1.0,0.5,0.8,1.95,2.5/3,1.85,A,17.0,17.0,0.4705882352941176,-8.830000000000005,0.1176470588235294,-5.280000000000003,0.6470588235294118,-10.6,0.2161078603913138,0.0,12.9,0.468664666737861,-3.5500000000000025,-23.5,0.6847725271291748,-1.6586053157611178,-0.813953003369894,-0.8763435526135478,0.9164591621009552,0.78226176314757,1.7304121654708493,Away,Away
2719988,2025-10-12,01:00,K League 2  ,Jeonnam Dragons,Ansan Greeners FC,1.57,4.0,5.0,1.03,1,0.78,1.83,2.5,1.98,D,17.0,16.0,0.3529411764705882,6.480000000000002,-0.875,13.75,0.5294117647058824,14.669999999999998,0.468664666737861,-1.0,10.0,0.184809825547528,-7.269999999999998,4.669999999999998,0.653474492285389,2.604698269468133,1.3632600881396664,2.19297942740375,1.6401737092747468,0.41171884206438314,0.27691362113508045,Home,Away
2719989,2025-10-12,01:00,K League 2  ,Suwon Samsung Bluewings,Cheonan City,1.36,5.0,6.0,0.83,1,0.98,1.95,3,1.85,A,16.0,16.0,0.875,-8.8,-0.8125,15.64,0.9375,3.7999999999999936,0.3317819560677652,-0.9375,3.7999999999999936,0.3317819560677652,-24.44,0.0,0.6635639121355305,-0.15640179911090277,1.0666508741125087,-0.2720391599396244,-1.4720430667043378,0.11563736082872164,2.5386939408168465,Home,Home
2881279,2025-10-12,02:00,J-League Cup  ,Hiroshima Sanfrecce,Yokohama FC,1.53,3.5,5.75,0.75,0.5/1,1.05,1.93,2/2.5,1.88,A,16.0,16.0,0.875,-23.75,-0.5625,28.1,1.0,5.6599999999999975,0.184809825547528,-0.8125,-11.25,0.2309836333518552,-51.85,16.909999999999997,0.41579345889938324,-2.274037495923022,0.2783051630468834,2.227929974037921,-1.2718189608043684,4.5019674699609435,1.5501241238512518,Away,Home
2881280,2025-10-12,03:00,J-League Cup  ,Kashiwa Reysol,Kawasaki Frontale,2.05,3.75,2.7,0.9,0/0.5,0.9,1.83,2.5/3,1.98,H,16.0,17.0,0.5,-11.84,0.3529411764705882,-10.04,0.6875,19.99,0.2138050993040052,0.4705882352941176,6.480000000000002,0.3600507438551554,-1.8000000000000007,13.509999999999996,0.5738558431591606,-1.0086761636376589,0.16778565039126137,-1.1979108195632628,0.06660988753987145,0.18923465592560396,0.10117576285138992,Home,Home
