Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_H_Asi,Asian_Line,Odd_A_Asi,Odd_Over25,OverLine,Odd_Under25,Result,Games_Home,Games_Away,Aggression_Home_HT,HandScore_Home_HT,Aggression_Away_HT,HandScore_Away_HT,Aggression_Home,HandScore_Home,OverScore_Home,Aggression_Away,HandScore_Away,OverScore_Away,Diff_HT_P,Diff_Power,OU_Total,M_HT_H,M_H,M_HT_A,M_A,MT_H,MT_A,Diff_MHT_Abs,Diff_MFT_Abs,M_Adv_HT,M_Adv_FT,Goals_H_FT,Goals_A_FT
2701907,2025-10-18,01:00,J1 League  ,Gamba Osaka,Kashiwa Reysol,2.63,3.3,2.6,0.83,0,0.98,1.8,2.5,2.0,D,17.0,18.0,0.4117647058823529,-5.280000000000003,-0.0555555555555555,10.57,0.4705882352941176,24.700000000000003,0.386406470979348,0.0,20.57,0.2309836333518552,-15.850000000000003,4.130000000000003,0.6173901043312032,-0.5574957302405411,1.1484797426237323,0.1130646104891418,0.9609141275464088,0.8186248035124288,-1.1638299971958028,0.670560340729683,0.1875656150773235,Away,Home,0.0,5.0
2716669,2025-10-18,01:00,K League 1  ,Daegu FC,Gangwon FC,3.2,3.3,2.25,0.88,0/-0.5,0.93,1.88,2.5,1.93,H,16.0,16.0,-0.4375,5.6599999999999975,-0.375,31.899999999999995,-0.625,16.2,0.3317819560677652,-0.5625,5.6599999999999975,0.184809825547528,-26.24,10.540000000000004,0.5165917816152932,0.562562167877035,0.331486571691328,1.1358678066982886,-0.1581801065587684,1.0059240769429272,0.0,0.5733056388212536,0.4896666782500964,Away,Home,2.0,2.0
2716668,2025-10-18,01:00,K League 1  ,Jeonbuk Hyundai Motors,Suwon FC,1.7,4.1,4.33,0.98,0.5/1,0.83,1.95,3,1.85,H,17.0,17.0,0.7647058823529411,8.250000000000004,-0.4705882352941176,8.250000000000004,0.8823529411764706,16.439999999999998,0.2799923761135083,-0.7647058823529411,2.9700000000000024,0.3096289731154949,0.0,13.469999999999995,0.5896213492290032,0.1535329646725943,0.38559444957871,0.0215819952591747,-0.3459534359448337,0.0,-0.7543608480871865,0.1319509694134196,0.7315478855235438,Home,Home,2.0,0.0
2716667,2025-10-18,01:00,K League 1  ,Daejeon Citizen,Jeju SK FC,1.83,3.75,4.0,0.83,0.5,0.98,1.95,2.5/3,1.85,H,16.0,17.0,0.1875,4.339999999999999,-0.6470588235294118,24.12,0.25,24.4,0.2309836333518552,-0.7647058823529411,-4.700000000000006,0.261648011960881,-19.78,29.100000000000005,0.4926316453127362,-0.3290546238492661,1.3787746081337688,1.0231872190246707,-0.8550000697622068,0.6570972983534191,-1.1408655677212252,1.352241842873937,2.233774677895976,Away,Home,3.0,1.0
2716666,2025-10-18,01:00,K League 1  ,FC Seoul,Pohang Steelers,2.15,3.3,3.4,0.83,0/0.5,0.98,2.03,2.5,1.78,A,17.0,16.0,0.7058823529411765,-1.160000000000004,-0.125,3.1000000000000005,1.0,-4.700000000000006,0.4129996672121181,-0.4375,11.86,0.184809825547528,-4.260000000000004,-16.560000000000006,0.5978094927596461,-0.2644124064491092,-1.5683011407989782,-0.6938503074304652,-0.1581801065587684,-0.4360037390212257,-1.6008200966072597,0.4294379009813559,1.4101210342402095,Home,Away,1.0,2.0
2716665,2025-10-18,01:00,K League 1  ,Ulsan HD FC,Gwangju Football Club,1.95,3.5,3.8,0.9,0.5,0.9,1.78,2/2.5,2.03,A,16.0,17.0,0.8125,-15.6,-0.2352941176470588,3.5299999999999967,0.875,-2.5,0.2309836333518552,-0.2941176470588235,10.6,0.2161078603913138,-19.129999999999995,-13.1,0.447091493743169,-1.1998361015002983,-0.2072659706149891,-0.2824767333839222,0.1587263762589098,-1.4838545752230596,0.0,0.917359368116376,0.365992346873899,Away,Away,2.0,0.0
2702690,2025-10-18,01:00,J3 League  ,Nara Club,AC Nagano Parceiro,2.05,3.25,3.2,0.83,0.5,0.98,2.0,2/2.5,1.8,H,17.0,17.0,-0.1176470588235294,13.56,-0.7058823529411765,20.57,-0.3529411764705882,44.13,0.3096289731154949,-0.9411764705882352,-4.700000000000006,0.173094861439049,-7.01,48.83000000000001,0.4827238345545439,0.3491413203058062,1.5444513437046798,1.2794972947761496,-0.474047815065142,-1.7582723601670454,-0.8393126401297252,0.9303559744703432,2.018499158769822,Away,Home,2.0,0.0
2702284,2025-10-18,01:00,J2 League  ,Sagan Tosu,Blaublitz Akita,2.0,3.3,3.6,0.83,0/0.5,0.98,1.9,2/2.5,1.9,H,17.0,17.0,0.1176470588235294,21.759999999999994,-0.4117647058823529,-1.160000000000004,0.5294117647058824,20.57,0.3096289731154949,-0.5882352941176471,10.6,0.4236888781333764,22.92,9.97,0.7333178512488714,1.5260717132083486,0.8962760925464736,-0.7579858212687793,0.0566637371907952,0.0432734597109349,0.0,2.284057534477128,0.8396123553556784,Home,Home,1.0,0.0
2716670,2025-10-18,01:00,K League 1  ,FC Anyang,Gimcheon Sangmu FC,3.2,3.5,2.15,0.93,0/-0.5,0.88,1.9,2.5/3,1.9,A,17.0,16.0,-0.1176470588235294,5.889999999999997,-0.0625,0.5999999999999988,-0.0588235294117647,10.6,0.3096289731154949,0.25,7.509999999999998,0.4440393186673406,5.289999999999998,3.0900000000000016,0.7536682917828355,-0.1262118037315325,-0.3647014571263222,-0.4535842924438611,-0.032166111422605,0.2929069271848735,-0.5715769674070693,0.3273724887123286,0.3325353457037172,Home,Away,4.0,1.0
2702278,2025-10-18,01:00,J2 League  ,Iwaki FC,Ehime FC,1.53,4.2,5.5,0.88,1,0.93,1.93,2.5/3,1.88,A,17.0,17.0,0.0588235294117647,15.92,-1.0,30.599999999999994,0.0,4.119999999999997,0.2799923761135083,-1.0,20.57,0.3096289731154949,-14.679999999999994,-16.450000000000003,0.5896213492290032,1.0347579722425793,-0.1833730126869187,1.7312883238809822,0.8554111090471835,-1.263698947084673,-0.6655893296512483,0.6965303516384029,1.0387841217341025,Away,Away,2.0,1.0
