Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Result,Aggression_Home_HT,HandScore_Home_HT,Aggression_Away_HT,HandScore_Away_HT,Aggression_Home,HandScore_Home,OverScore_Home,Aggression_Away,HandScore_Away,OverScore_Away,Diff_HT_P,Diff_Power,OU_Total,Odd_H_Asi,Asian_Line,Odd_A_Asi,Odd_Over25,OverLine,Odd_Under25,Games_Home,Games_Away,M_HT_H,M_H,M_HT_A,M_A,Diff_MHT_Abs,Diff_MFT_Abs,M_Adv_HT,M_Adv_FT,MT_H,MT_A,Goals_H_FT,Goals_A_FT,Goals_H_HT,Goals_A_HT,Corners_H,Corners_A,Yellow_H,Yellow_A,Red_H,Red_A,Odd_H_OP,Odd_D_OP,Odd_A_OP,Odd_Over,OverQnt,Odd_Under,Radar_H,Radar_A,MT_HT_H,MT_HT_A
2800389,2025-10-19,8:30,Austrian Bundesliga  ,Red Bull Salzburg,Rheindorf Altach,1.57,4.33,4.75,H,1.0,0.0,-0.75,35.0,1.0,20.0,0.300636052,-0.75,10.0,0.0,-35.0,10.0,0.300636052,1.0,1.5,0.8,1.83,2.5/3,1.98,5.0,4.0,0.701686503,0.506386319,1.3364159,0.049179701,0.634729398,0.502140077,Away,Away,0.0,0.0,2.0,2.0,1.0,1.0,2.0,6.0,7,2,1,0,1.6,4.2,5.0,,,,,,,
2800390,2025-10-19,11:00,Austrian Bundesliga  ,Rapid Wien,LASK Linz,1.75,3.6,4.5,D,1.0,10.0,-0.25,-15.0,1.0,-7.5,0.150035709,-0.25,-40.0,0.061490315,25.0,32.5,0.211526024,0.8,0.5/1,1.0,1.8,3,2.0,4.0,4.0,1.417759486,-0.805036837,-1.999966816,-1.844760916,3.417726302,1.438564715,Home,Home,0.0,,0.0,2.0,0.0,2.0,4.0,5.0,1,2,0,0,1.72,3.6,4.8,,,,,,,
2791799,2025-10-19,13:15,Belgian Pro League  ,Zulte-Waregem,KAA Gent,2.6,3.5,2.55,D,-0.2,12.0,-0.4,-2.0,-0.2,40.0,0.0,-0.6,20.0,0.230719932,14.0,20.0,0.230719932,0.68,0/-0.5,1.15,2.08,3,1.73,5.0,5.0,0.411288057,0.916225608,-1.220185003,0.784165794,1.63147306,0.254010673,Home,Away,0.0,0.19760479,4.0,1.0,3.0,0.0,3.0,12.0,0,2,0,0,2.62,3.5,2.5,,,,,,,
2776247,2025-10-19,14:00,Argentine Division 1  ,Estudiantes La Plata,Gimnasia La Plata,1.6,3.5,7.0,H,0.846153846,-1.5,-0.846153846,31.51,0.769230769,21.5,0.193257462,-0.923076923,-1.5,0.08894004,-33.01,23.0,0.282197502,0.83,0.5,0.98,1.8,1.5/2,2.0,13.0,13.0,-0.484954358,0.846365807,0.861003768,-0.770128756,1.345958126,1.846163142,Away,Home,-2.923941399,0.202861395,2.0,0.0,1.0,0.0,8.0,4.0,1,1,0,0,1.83,3.0,5.5,,,,,,,
2889798,2025-10-19,13:45,Argentine Division 2,Gimnasia Jujuy,Deportivo Madryn,2.63,2.8,3.0,H,0.941176471,1.2,-0.117647059,5.89,1.0,12.9,0.279992376,-0.294117647,6.48,0.412999667,-4.69,6.42,0.692992043,0.85,0/0.5,0.95,1.8,1.5/2,2.0,17.0,17.0,0.11612094,-1.222019676,0.214256503,-0.609641813,0.098135564,0.384292279,Away,Away,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,
2776253,2025-10-19,17:00,Argentine Division 1  ,San Martin San Juan,Independiente,3.5,2.8,2.35,D,-0.071428571,-5.73,-0.133333333,3.33,0.142857143,-9.27,0.163444907,-0.133333333,-0.7,0.232057543,-9.06,-8.57,0.39550245,0.83,0/-0.5,0.98,1.88,1.5/2,1.93,14.0,15.0,0.922699761,-1.433723497,-0.092230982,-0.705270898,1.014930744,0.989039619,Home,Away,-1.226693847,-0.592879873,1.0,0.0,0.0,0.0,3.0,7.0,3,3,0,0,2.5,3.0,3.1,,,,,,,
2791798,2025-10-19,12:30,Belgian Pro League  ,Sint-Truidense,Anderlecht,2.9,3.5,2.3,H,0.4,26.0,0.25,-15.0,0.2,40.0,0.375528264,0.5,10.0,0.0,41.0,30.0,0.375528264,1.2,0,0.65,2.25,3,1.63,5.0,4.0,0.411288057,0.96287072,-0.519244493,0.254338141,0.93053255,0.254010673,Home,Away,0.0,0.0,2.0,2.0,1.0,2.0,5.0,6.0,1,2,0,0,3.0,3.6,2.2,,,,,,,
2776254,2025-10-19,14:00,Argentine Division 1  ,Sarmiento Junin,Velez Sarsfield,3.5,2.88,2.35,D,-0.153846154,7.7,-0.214285714,-0.69,-0.076923077,3.08,0.35522481,-0.428571429,2.12,0.35522481,8.39,0.96,0.710449619,0.95,0,0.85,1.88,1.5/2,1.93,13.0,14.0,0.922699761,-0.520324106,-0.99420912,-0.495986788,1.916908881,0.891025754,Home,Home,-0.635214671,0.576617969,0.0,2.0,0.0,0.0,6.0,9.0,2,2,0,0,2.8,3.0,2.7,,,,,,,
2791801,2025-10-19,7:30,Belgian Pro League  ,Cercle Brugge,Racing Genk,3.0,3.7,2.15,D,0.2,-8.0,0.2,6.0,0.6,-20.0,0.230719932,0.2,0.0,0.375528264,-14.0,-20.0,0.606248196,0.7,-0.5,1.1,1.65,2.5,2.2,5.0,5.0,-0.642096267,-1.37751168,0.117150008,-0.289287605,0.759246275,1.222393817,Away,Away,0.0,0.0,2.0,2.0,1.0,1.0,4.0,4.0,3,2,0,0,3.1,3.75,2.1,,,,,,,
2800387,2025-10-19,8:30,Austrian Bundesliga  ,FC Blau Weiss Linz,Sturm Graz,4.5,3.4,1.8,A,0.75,10.0,0.2,46.0,0.75,10.0,0.045586063,0.6,60.0,0.117618231,-36.0,-50.0,0.163204294,0.8,-1,1.0,1.88,2.5/3,1.93,4.0,5.0,-0.028469935,0.026094908,1.493355304,1.961762874,1.52182524,2.546692848,Away,Away,0.0,,3.0,4.0,1.0,1.0,8.0,2.0,2,3,0,0,5.5,3.75,1.61,,,,,,,
2776252,2025-10-19,17:00,Argentine Division 1  ,Rosario Central,CA Platense,1.73,3.1,6.5,D,0.625,9.4,-0.411764706,7.66,0.8125,24.4,0.35522481,-0.647058824,14.67,0.261648012,1.74,9.73,0.616872822,1.0,1/1.5,0.8,1.9,2/2.5,1.9,16.0,17.0,1.33626853,1.067594137,1.091005305,0.437923584,0.245263225,1.436963472,Home,Home,-0.827298409,-2.954716954,1.0,0.0,0.0,0.0,6.0,2.0,2,1,0,0,1.42,4.33,9.0,,,,,,,
2889797,2025-10-19,16:00,Argentine Division 2,Deportivo Moron,Atletico Atlanta,1.95,3.0,4.75,H,0.666666667,18.93,-0.176470588,-14.11,0.944444444,21.1,0.386186686,-0.529411765,12.38,0.279992376,33.04,8.72,0.666179062,1.0,0.5,0.8,1.8,1.5/2,2.0,18.0,17.0,1.920926,0.089840855,-0.876406775,0.063694712,2.797332775,0.975210939,Home,Home,0.0,,1.0,0.0,0.0,0.0,8.0,2.0,3,5,0,0,2.0,3.0,4.1,,,,,,,
2745156,2025-10-19,17:30,Brazil Serie B  ,Botafogo SP,Cuiaba,3.25,3.0,2.35,D,-0.0625,-10.6,-0.5,3.1,0.125,7.51,0.325902669,-0.75,13.75,0.312669547,-13.7,-6.24,0.638572216,0.78,0/-0.5,1.03,2.05,2/2.5,1.75,16.0,16.0,0.380658896,-0.316334616,-0.531632271,0.293574333,0.912291167,0.449462655,Home,Away,-0.522446788,0.809277973,2.0,2.0,1.0,2.0,5.0,9.0,2,6,0,0,3.1,3.1,2.4,,,,,,,
