Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_H_Asi,Asian_Line,Odd_A_Asi,Odd_Over25,OverLine,Odd_Under25,Result,Games_Home,Games_Away,Aggression_Home_HT,HandScore_Home_HT,Aggression_Away_HT,HandScore_Away_HT,Aggression_Home,HandScore_Home,OverScore_Home,Aggression_Away,HandScore_Away,OverScore_Away,Diff_HT_P,Diff_Power,OU_Total,M_HT_H,M_H,M_HT_A,M_A
2860611,2025-10-22,06:00,AFC Champions League Elite  ,Gangwon FC,Vissel Kobe,3.5,3.1,2.1,0.8,-0.5,1.0,2.0,2.5,1.8,A,17.0,16.0,0.0588235294117647,-5.280000000000003,0.3125,-11.84,0.2352941176470588,2.9700000000000024,0.261648011960881,0.5,16.2,0.2309836333518552,6.559999999999997,-13.229999999999997,0.4926316453127362,-0.5902776784025695,0.1922414049122165,-0.4788321040364246,0.4149967972823526
2860612,2025-10-22,08:15,AFC Champions League Elite  ,Shanghai Shenhua,FC Seoul,2.8,3.4,2.3,0.95,0.5,0.85,1.8,2.5/3,2.0,A,13.0,16.0,0.9230769230769232,16.109999999999996,0.375,-18.100000000000005,1.0,-1.5000000000000036,0.3906175873976139,0.5625,-0.6000000000000041,0.1018190198423734,34.21,-0.8999999999999995,0.4924366072399873,0.6731384717970834,-0.13422988733762092,-0.8014400806489115,-0.990839969544802
2866546,2025-10-22,11:00,Finland Veikkausliga  ,Inter Turku,Gnistan Helsinki,1.33,5.25,6.5,0.9,1/1.5,0.9,1.95,3/3.5,1.85,A,13.0,13.0,0.6923076923076923,13.090000000000002,-0.5384615384615384,3.0799999999999974,0.9230769230769232,0.8099999999999983,0.2914343243183204,-0.3846153846153846,13.799999999999994,0.4236888781333764,10.010000000000005,-12.989999999999995,0.7151232024516968,0.07747461858859685,-0.5875209529139712,-0.30455846737877956,0.12593106953659597
2877029,2025-10-22,11:30,Lithuania - 1.Division  ,Siauliai,FK Banga Gargzdai,1.67,3.7,4.2,0.95,0.5,0.85,2.0,2.5/3,1.8,D,16.0,15.0,0.0,25.6,-0.4,32.7,-0.125,16.2,0.5699064013154177,-0.6666666666666666,20.0,0.1634449073720273,-7.100000000000001,-3.8000000000000007,0.733351308687445,0.952625543103368,0.28849557922949487,1.4553515737056302,0.4381016499874934
2711824,2025-10-22,12:00,Norway Adeccoligaen  ,Aalesund FK,Lyn Oslo,1.67,3.9,4.5,0.98,0.5/1,0.83,1.85,2.5/3,1.95,D,13.0,13.0,0.8461538461538461,0.8099999999999983,-0.2307692307692307,23.81,0.8461538461538461,29.200000000000003,0.2537781703934222,-0.3076923076923077,29.200000000000003,0.2800877556899882,-23.0,0.0,0.5338659260834104,-0.399942101550768,1.305076470994502,0.598505138360589,0.9398316563632971
2711825,2025-10-22,12:00,Norway Adeccoligaen  ,Egersunds IK,Moss,1.75,3.9,3.8,1.0,0.5/1,0.8,1.8,2.5/3,2.0,D,13.0,13.0,0.3076923076923077,3.0799999999999974,-0.5384615384615384,-6.890000000000001,0.4615384615384615,8.470000000000002,0.2914343243183204,-0.6153846153846154,-24.599999999999994,0.4236888781333764,9.969999999999999,33.06999999999999,0.7151232024516968,-0.2655306948005333,-0.19554725305537568,-1.1885670319522479,-1.8163279887644397
2711827,2025-10-22,12:00,Norway Adeccoligaen  ,Odds Ballklubb,Lillestrom,5.75,4.75,1.42,0.85,-1/1.5,0.95,1.85,3,1.95,A,13.0,13.0,0.6153846153846154,-19.980000000000004,0.8461538461538461,16.109999999999996,0.6923076923076923,0.8099999999999983,0.1516622361413138,1.0,23.81,0.3537967768916372,-36.09,-23.0,0.505459013032951,-1.630961108747851,-0.7500469021736617,0.15028182528538217,0.6637033945187152
2711828,2025-10-22,12:00,Norway Adeccoligaen  ,Ranheim IL,Mjondalen IF,1.4,5.25,5.5,1.03,1/1.5,0.78,1.85,3,1.95,D,13.0,13.0,0.3076923076923077,-6.890000000000001,-1.0,23.81,0.3846153846153846,-1.5000000000000036,0.2365895936154873,-1.0,6.200000000000003,0.4974312600487308,-30.7,-7.700000000000006,0.7340208536642181,-0.8558750671793172,-0.9172654647667741,0.598505138360589,-0.23845220679540072
2711829,2025-10-22,12:00,Norway Adeccoligaen  ,Raufoss,Sogndal,2.8,3.5,2.3,0.78,0/-0.5,1.03,1.95,3,1.85,H,13.0,13.0,-0.3076923076923077,10.78,-0.3846153846153846,29.200000000000003,-0.2307692307692307,16.109999999999996,0.1932574619052465,-0.3846153846153846,8.470000000000002,0.2365895936154873,-18.42,7.6399999999999935,0.42984705552073377,0.1904022708280161,0.35750461630019864,0.9122614575132338,-0.12216071247495534
2711830,2025-10-22,12:00,Norway Adeccoligaen  ,Stabaek,Asane Fotball,1.48,4.5,5.5,0.9,1,0.9,1.83,3,1.98,A,13.0,13.0,0.6153846153846154,-1.5000000000000036,-0.6153846153846154,-6.890000000000001,0.5384615384615384,-14.590000000000002,0.2537781703934222,-0.6923076923076923,13.799999999999994,0.3195073356553728,5.389999999999997,-28.389999999999993,0.573285506048795,-0.5367219912393327,-1.8648373194610768,-1.1885670319522479,0.15089376537877724
2711831,2025-10-22,12:00,Norway Adeccoligaen  ,Start Kristiansand,Skeid Oslo,1.2,6.25,10.0,0.95,1.5/2,0.85,1.85,3/3.5,1.95,H,13.0,12.0,0.6153846153846154,-14.590000000000002,-0.9166666666666666,18.299999999999997,0.8461538461538461,13.799999999999994,0.5230138624217553,-0.9166666666666666,12.489999999999997,0.2365895936154873,-32.89,1.309999999999997,0.7596034560372426,-1.3118080328078665,0.1902860537070862,0.27776352082235684,0.08378281491191243
2866547,2025-10-22,12:00,Finland Veikkausliga  ,HJK Helsinki,SJK Seinajoen,1.9,4.2,3.25,0.9,0.5/1,0.9,1.9,3.5,1.9,D,13.0,13.0,0.7692307692307693,18.419999999999995,0.0,-12.28,0.9230769230769232,13.799999999999994,0.5776482949136899,0.0769230769230769,16.109999999999996,0.5519636426153274,30.699999999999996,-2.3100000000000023,1.1296119375290172,0.4947285351113449,0.40771888282902213,-1.6586840575913808,0.3273491956025721
2877030,2025-10-22,12:00,Lithuania - 1.Division  ,FK Panevezys,FK Riteriai,1.55,4.1,4.5,0.9,1/1.5,0.9,1.83,2.5/3,1.98,H,15.0,15.0,0.3333333333333333,-0.7000000000000064,-0.8666666666666667,-13.3,0.4,13.299999999999994,0.2138050993040052,-0.8666666666666667,0.0,0.3259026690286935,12.599999999999994,13.299999999999994,0.5397077683326987,-0.8472504480097249,0.0849384066208094,-1.4518851057281759,-0.831116828302289
2877031,2025-10-22,12:00,Lithuania - 1.Division  ,Kauno Zalgiris,FK Zalgiris Vilnius,1.95,3.7,3.0,0.9,0.5,0.9,1.95,2.5/3,1.85,H,15.0,16.0,0.8666666666666667,33.3,0.625,-11.25,0.8666666666666667,26.700000000000003,0.5481406466534955,0.8125,-2.5,0.3317819560677652,44.55,29.200000000000003,0.8799226027212608,1.479585434037619,1.0255129283299067,-1.3223234711012344,-0.9897691380885117
2794672,2025-10-22,12:30,Czech Republic Gambrinus Liga  ,Bohemians 1905,Mlada Boleslav,2.05,3.6,3.1,0.78,0/0.5,1.03,1.9,2.5/3,1.9,D,6.0,5.0,-0.1666666666666666,-6.700000000000006,-0.4,6.0,-0.3333333333333333,-1.690000000000003,0.0300525858717302,-0.8,0.0,0.3755282641185388,-12.700000000000006,-1.690000000000003,0.405580849990269,-0.35150982595357705,-0.05021395866213334,-0.46032652506725175,-0.647478651969294
2798136,2025-10-22,14:45,England Championship  ,Watford,West Bromwich(WBA),2.7,3.25,2.6,0.78,0/-0.5,1.1,2.0,2/2.5,1.85,D,5.0,5.0,0.4,6.0,-0.2,6.0,0.4,40.0,0.3755282641185388,-0.2,20.0,0.230719932208837,0.0,20.0,0.6062481963273758,0.25575738184137126,1.7388737131453587,-0.22298799790572948,0.07782348677781821
2798137,2025-10-22,14:45,England Championship  ,Swansea City,Queens Park Rangers (QPR),2.05,3.3,3.5,0.88,0.5,0.98,2.0,2.5,1.85,D,5.0,5.0,0.4,-28.0,-0.8,-20.0,0.4,-20.0,0.1176182311592532,-0.8,6.0,0.3755282641185388,-8.0,-26.0,0.493146495277792,-1.1967490119235291,-0.6147967245472326,-1.274855717489594,-0.49725012841865857
2798138,2025-10-22,14:45,England Championship  ,Wrexham,Oxford United,1.95,3.4,3.75,0.85,0.5,1.0,1.85,2.5,2.0,D,5.0,5.0,0.4,12.0,-0.8,6.0,0.8,-34.0,0.230719932208837,-1.0,6.0,0.230719932208837,6.0,-40.0,0.461439864417674,0.512082039564589,-1.1639864933421704,-0.22298799790572948,-0.49725012841865857
2798135,2025-10-22,15:00,England Championship  ,Sheffield Wednesday,Middlesbrough,4.75,3.8,1.7,0.88,-0.5/1,0.98,1.88,2.5,1.98,A,5.0,5.0,-0.4,-14.0,-0.2,-8.0,-0.8,-34.0,0.230719932208837,-0.4,26.0,0.230719932208837,-6.0,-60.0,0.461439864417674,-0.5986581439026878,-1.1639864933421704,-0.7893783084508873,0.32428360757630825
2858476,2025-10-22,16:00,Ecuador Campeonato Serie B  ,Chacaritas SC,CD Vargas Torres,3.5,3.1,2.1,1.0,0/-0.5,0.8,1.95,2/2.5,1.85,H,12.0,11.0,-0.5833333333333334,31.67,-0.8181818181818182,-0.8700000000000009,-0.5833333333333334,20.83,0.3537967768916372,-0.8181818181818182,13.65,0.1077892874862118,32.54,7.179999999999998,0.461586064377849,1.3331281902628949,0.19395425403391053,-0.5886654152663092,0.7214366630809735
2858477,2025-10-22,16:00,Ecuador Campeonato Serie B  ,Cumbaya FC,Atletico Vinotinto,2.5,3.0,2.88,0.78,0,1.03,2.03,2/2.5,1.78,D,13.0,12.0,0.8461538461538461,10.78,-0.1538461538461538,-9.97,0.8461538461538461,3.0799999999999974,0.1381178398973613,-0.3333333333333333,-9.99,0.2914343243183204,20.75,13.069999999999997,0.42955216421568165,0.0681085071012693,-1.0443689920363777,-1.2458438935354148,-0.8096886659727363
2888345,2025-10-22,17:30,Primera Division de Venezuela  ,Carabobo FC,Metropolitanos FC,1.53,4.0,5.25,0.85,1,0.95,1.85,2/2.5,1.95,D,15.0,16.0,0.7333333333333333,-14.0,-0.4375,3.1000000000000005,0.9333333333333332,3.9899999999999967,0.1634449073720273,-0.625,11.86,0.2309836333518552,-17.1,-7.870000000000003,0.3944285407238825,-1.402511988369255,-0.6677351918917996,-0.8373266910898518,0.0023355375284195017
2734836,2025-10-22,18:00,Brazil Serie A  ,Bahia,Internacional RS,1.85,3.5,4.5,0.75,0,1.13,1.8,2,2.05,H,14.0,13.0,0.6428571428571429,23.559999999999995,-0.3846153846153846,8.470000000000002,0.7142857142857143,31.4,0.2679886791947528,-0.5384615384615384,-12.28,0.3195073356553728,15.089999999999993,43.68,0.5874960148501256,1.3072985083590463,1.176236173065693,-0.12884685638332596,-1.194929964140767
2776248,2025-10-22,18:30,Argentine Division 1  ,CA Huracan,Central Cordoba SDE,1.95,2.9,5.0,1.0,0.5,0.8,1.8,1.5/2,2.0,D,16.0,14.0,0.5625,-5.64,-0.6428571428571429,2.120000000000001,0.75,13.75,0.1268049716161809,-0.9285714285714286,12.13,0.3552248097226855,-7.760000000000001,1.6199999999999992,0.4820297813388664,-0.45719659972076776,0.26622271964607297,-0.9467610697011964,0.24867020830173858
2887063,2025-10-22,19:00,Colombia Copa Cup  ,Atletico Nacional Medellin,Deportiva Once Caldas,1.55,3.8,6.25,1.0,1,0.8,2.0,2.5,1.8,D,21.0,20.0,1.0,17.099999999999998,-0.6190476190476191,8.599999999999996,1.0,-0.4600000000000039,0.386577942315206,-0.6,5.0,0.2732950548744854,8.500000000000002,-5.4600000000000035,0.6598729971896914,0.640026533053487,-1.0564218507737826,-0.07018501617929819,-0.895242887765869
2890989,2025-10-22,19:00,Ecuador Cup,Guayaquil City,Club Sport Emelec,2.9,3.25,2.2,0.88,0/-0.5,0.93,1.85,2/2.5,1.95,D,11.0,16.0,1.0,5.5,-0.75,26.25,1.0,29.059999999999995,0.1516622361413138,-0.8125,28.799999999999997,0.1517610069469123,-20.75,0.259999999999998,0.3034232430882261,0.14871105459354836,0.6369755392852422,0.47321176910318596,0.4982444095769557
2888346,2025-10-22,19:30,Primera Division de Venezuela  ,Deportivo Tachira,Caracas FC,1.7,3.25,4.75,0.83,1,0.98,1.98,2.5,1.83,H,16.0,13.0,1.0,16.2,-0.1538461538461538,8.470000000000002,1.0,22.5,0.1416443505196105,-0.3076923076923077,8.470000000000002,0.1770944658123681,7.729999999999997,14.029999999999998,0.3187388163319786,0.6772928467008298,0.7981711568742114,-0.35247043811550405,-0.17488053628196523
2882069,2025-10-22,20:30,Copa Libertadores  ,Flamengo,Racing Club,1.38,4.75,8.5,1.05,1/1.5,0.75,1.78,2/2.5,2.03,A,15.0,14.0,1.0,6.699999999999999,-0.0714285714285714,18.58,1.0,8.669999999999996,0.1982422808259466,-0.0714285714285714,24.3,0.2800877556899882,-11.879999999999999,-15.630000000000004,0.47833003651593486,0.5607868673011732,0.14307959029479037,0.983705628384433,0.9469706074722718
2891659,2025-10-22,20:30,USA Major League Soccer,Chicago Fire,Orlando City,2.1,3.8,3.3,1.0,0.5,0.8,1.85,3,1.95,A,17.0,17.0,0.4705882352941176,10.020000000000003,-0.2352941176470588,14.15,0.8235294117647058,-5.280000000000003,0.3011663015105079,-0.2941176470588235,22.34,0.386406470979348,-4.129999999999997,-27.620000000000005,0.6875727724898559,0.7071067811865476,-0.7071067811865475,-0.7071067811865479,0.7071067811865475
2784325,2025-10-22,21:00,Primera Division Liga MX  ,Pachuca,Tigres UANL,2.6,3.5,2.6,1.0,0/0.5,0.8,1.9,2.5,1.9,D,6.0,6.0,0.6666666666666666,-13.31,0.3333333333333333,3.3299999999999965,0.8333333333333334,-18.330000000000005,0.0362231609697874,0.3333333333333333,8.299999999999997,0.0967693325592168,-16.639999999999997,-26.630000000000003,0.1329924935290042,-0.7615934223224438,-1.2166311394741887,-0.21937044029059113,-0.21996987988889888
2784326,2025-10-22,21:00,Primera Division Liga MX  ,Queretaro FC,Chivas Guadalajara,5.25,3.5,1.73,0.8,-0.5,1.0,1.8,2.5,2.0,D,6.0,6.0,-0.5,-34.99,0.1666666666666666,3.3299999999999965,-0.6666666666666666,10.0,0.1876128068994087,0.0,15.01,0.1876128068994087,-38.32,-5.01,0.3752256137988174,-1.5906334486748042,0.2918665196731181,-0.21937044029059113,0.1603330415680321
2713643,2025-10-22,22:00,USL Championship  ,Sacramento Republic FC,Charleston Battery,2.5,3.5,2.5,0.9,0,0.9,1.93,2.5,1.88,D,13.0,14.0,0.8461538461538461,8.470000000000002,0.3571428571428571,7.149999999999999,0.9230769230769232,-4.579999999999999,0.2914343243183204,0.4285714285714285,5.029999999999999,0.3876400468214041,1.3200000000000038,-9.61,0.6790743711397245,0.4259466824235265,-0.9316780649661454,-0.49046434896523616,-0.40928177257773773
2891660,2025-10-22,22:30,USA Major League Soccer,Portland Timbers,Real Salt Lake,2.15,3.6,3.2,0.9,0/0.5,0.9,1.78,2.5/3,2.03,D,17.0,17.0,0.5882352941176471,-5.280000000000003,-0.7647058823529411,18.799999999999997,0.7058823529411765,6.480000000000002,0.3011663015105079,-0.8823529411764706,7.100000000000001,0.261648011960881,-24.08,-0.6199999999999992,0.5628143134713889,-0.7071067811865476,0.7071067811865475,0.7071067811865474,-0.7071067811865475
2784327,2025-10-22,23:00,Primera Division Liga MX  ,Atlas,Club Leon,2.88,3.5,2.35,0.93,0,0.88,2.0,2.5,1.8,D,6.0,6.0,-0.3333333333333333,43.3,-0.8333333333333334,10.0,-0.5,10.0,0.6096569663469354,-0.6666666666666666,-6.700000000000006,0.0967693325592168,33.3,16.700000000000006,0.7064262989061523,1.4031646907682909,0.2918665196731181,0.12860565976870977,-1.0701254420131856
2784328,2025-10-22,23:00,Primera Division Liga MX  ,Club Tijuana,Toluca,3.9,3.6,1.91,0.95,0/-0.5,0.85,1.78,2.5/3,2.03,D,7.0,6.0,0.2857142857142857,35.690000000000005,0.5,26.700000000000003,0.2857142857142857,25.68,0.2504542304090258,0.5,43.3,0.2999883213415286,8.990000000000002,-17.619999999999997,0.5504425517505545,1.1121594047654562,1.1267850969915,0.9998501681630612,1.7637264317344363
2784329,2025-10-22,23:05,Primera Division Liga MX  ,Pumas U.N.A.M.,Atletico San Luis,1.83,3.6,4.5,0.9,0.5/1,0.9,1.85,2.5/3,1.95,D,6.0,7.0,0.5,-25.0,-0.4285714285714285,21.39,0.6666666666666666,-18.330000000000005,0.0967693325592168,-0.2857142857142857,11.439999999999998,0.2999883213415286,-46.39,-29.770000000000003,0.39675765390074536,-1.208617311070557,-1.2166311394741887,0.7228257166915637,-0.042003982217548204
