Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_H_Asi,Asian_Line,Odd_A_Asi,Odd_Over25,OverLine,Odd_Under25,Result,Games_Home,Games_Away,Aggression_Home_HT,HandScore_Home_HT,Aggression_Away_HT,HandScore_Away_HT,Aggression_Home,HandScore_Home,OverScore_Home,Aggression_Away,HandScore_Away,OverScore_Away,Diff_HT_P,Diff_Power,OU_Total,M_HT_H,M_H,M_HT_A,M_A,MT_H,MT_A,Diff_MHT_Abs,Diff_MFT_Abs,M_Adv_HT,M_Adv_FT
2702702,2025-10-24,06:00,J3 League  ,Osaka FC,Tochigi SC,2.05,3.1,3.3,0.98,0.5,0.83,1.75,2,2.05,H,16.0,16.0,0.8125,-6.900000000000001,-0.125,0.5999999999999988,0.875,24.4,0.2309836333518552,0.0625,-0.6000000000000041,0.1517610069469123,-7.5,25.000000000000004,0.38274464029876754,-0.8428137517034558,0.47485652903294073,-0.31136596743996564,-0.3099331042296479,-0.5338550868517797,0.5925959099212614,0.5314477842634902,0.7847896332625887,Away,Home
2726376,2025-10-24,07:35,Chinese Super League  ,Meizhou Hakka,Yunnan Yukun,1.62,4.2,4.5,0.9,0.5/1,0.9,1.98,3.5,1.83,A,13.0,13.0,-0.5384615384615384,-4.579999999999999,-0.6153846153846154,18.419999999999995,-0.4615384615384615,0.8099999999999983,0.6226353745137962,-0.6153846153846154,8.470000000000002,0.2914343243183204,-22.999999999999993,-7.660000000000004,0.9140696988321166,-1.0686742539849112,-0.9076626293038024,0.5125832966641392,-0.1114574572521868,0.34379764576912214,-0.29386893328595676,1.5812575506490503,0.7962051720516156,Away,Away
2726379,2025-10-24,07:35,Chinese Super League  ,Wuhan Three Towns,Shenzhen Xinpengcheng,2.2,3.5,3.1,1.0,0.5,0.8,2.03,3,1.78,A,13.0,13.0,0.0,-1.5000000000000036,-0.7692307692307693,-17.67,-0.0769230769230769,6.200000000000003,0.3195073356553728,-0.9230769230769232,-22.290000000000003,0.3552248097226855,16.169999999999998,28.490000000000006,0.6747321453780584,-0.8316810221202209,-0.4758357079633086,-1.9271295697835236,-2.250582088320014,-0.9304393051695421,-1.0069410552459706,1.0954485476633027,1.7747463803567054,Home,Home
2865719,2025-10-24,08:00,Bulgaria Premier League  ,PFK Montana,FC Arda Kardzhali,4.2,3.4,1.85,1.03,0/-0.5,0.78,2.03,2/2.5,1.78,D,6.0,5.0,-0.1666666666666666,15.01,0.4,6.0,-0.3333333333333333,15.01,0.0967693325592168,0.0,0.0,0.1176182311592532,9.01,15.01,0.21438756371847,0.09230587483707224,0.08206843032045906,0.3184238174309896,-0.09690694520994785,-0.9999999999999999,1.0,0.22611794259391732,0.1789753755304069,Away,Home
2797173,2025-10-24,10:30,Romania Liga I  ,FK Csikszereda Miercurea Ciuc,Petrolul Ploiesti,2.75,3.1,2.7,0.93,0,0.88,1.93,2/2.5,1.88,D,8.0,7.0,-0.625,13.75,-0.2857142857142857,15.729999999999997,-0.75,22.5,0.3057378545838018,-0.5714285714285714,17.099999999999998,0.0967693325592168,-1.9799999999999969,5.400000000000002,0.4025071871430186,0.469524165169646,0.5425459362438054,0.5783533330764838,0.49671995518799816,1.0896789146143162,1.0,0.10882916790683783,0.04582598105580726,Away,Home
2865720,2025-10-24,10:30,Bulgaria Premier League  ,Spartak Varna,Botev Plovdiv,3.8,3.6,1.9,0.8,-0.5,1.0,1.88,2/2.5,1.93,A,6.0,5.0,-0.6666666666666666,3.3299999999999965,0.0,-14.0,-0.6666666666666666,3.3299999999999965,0.1876128068994087,0.0,40.0,0.565508505247919,17.33,-36.67,0.7531213121473277,-0.3929023241264759,-0.3512766267061964,-0.5689213614208694,1.360522986510035,1.0,1.0,0.17601903729439344,1.7117996132162314,Home,Away
2732581,2025-10-24,11:00,Latvian Higher League  ,Riga FC,Tukums-2000,1.06,11.0,29.0,0.9,2.5,0.9,1.9,3.5,1.9,D,16.0,16.0,1.0,-6.900000000000001,-0.8125,18.1,1.0,-6.900000000000001,0.1089727610318281,-0.875,5.6599999999999975,0.1517610069469123,-25.000000000000004,-12.559999999999999,0.26073376797874037,-1.6864407550331788,-1.5177361495511439,0.6907426338057973,-0.2156713350118767,0.6069612566031249,-1.249600570494321,2.377183388838976,1.3020648145392673,Away,Away
2785387,2025-10-24,12:00,Poland Ekstraklasa  ,LKS Nieciecza,Zaglebie Lubin,2.5,3.5,2.7,0.83,0,0.98,1.93,2.5/3,1.88,D,5.0,5.0,-0.4,26.0,-0.6,20.0,-0.8,-20.0,0.230719932208837,-1.0,0.0,0.3755282641185388,6.0,-20.0,0.6062481963273758,0.9623721026723194,-1.293695442969069,0.8043404191878044,-0.24060025008915623,-1.0,-1.0,0.15803168348451502,1.0530951928799128,Home,Away
2792650,2025-10-24,12:00,Poland Liga 1  ,Znicz Pruszkow,Puszcza Niepolomice,2.35,3.4,2.7,0.78,0,1.03,1.98,2.5/3,1.83,D,6.0,6.0,-0.3333333333333333,-1.690000000000003,-0.5,31.67,-0.6666666666666666,-6.700000000000006,0.4364905634363539,-0.5,8.299999999999997,0.1876128068994087,-33.36000000000001,-15.000000000000004,0.6241033703357626,-0.8136694113179032,-0.7272792183337254,1.1967472889030948,0.04402676453969842,1.0,1.0,2.010416700220998,0.7713059828734239,Away,Away
2794977,2025-10-24,12:00,Czech Republic 2.Liga  ,Dynamo Ceske Budejovice,SK Prostejov,2.25,3.5,2.63,1.03,0/0.5,0.78,1.8,2/2.5,2.0,D,7.0,6.0,-0.1428571428571428,-2.8600000000000003,-1.0,10.0,0.2857142857142857,-11.400000000000002,0.1582169222626268,-1.0,-6.700000000000006,0.1876128068994087,-12.86,-4.699999999999996,0.34582972916203547,-0.06617421580949469,-0.7631133174865139,-0.03670107881009063,-0.7680211088470779,0.0,-1.0,0.029473136999404057,0.004907791360563962,Away,Home
