Date,League,Home,Away,Diff_HT_P,Diff_Power,OU_Total,Goals_H_FT,Goals_A_FT,Odd_H,Odd_D,Odd_A
2025-07-29,Iceland Division 1  ,Thor Akureyri,Grindavik,25.97428571,-8.344761905,7.87,2,0,1.44,4.5,5
2025-07-29,Primera Division de Paraguay  ,General Caballero LJM,Sportivo Trinidense,3.046410256,-8.481923077,-18.17,0,0,3.9,3.3,1.91
2025-07-29,Iceland Division 1  ,Leiknir Reykjavik,Keflavik,-31.29095238,-6.301904762,28.8,0,2,2.9,3.7,2
2025-07-29,Iceland Division 1  ,Throttur Reykjavik,Fylkir,28.04714286,8.832857143,38.3,2,1,2.35,3.6,2.45
2025-07-29,Iceland Division 1  ,UMF Njardvik,HK Kopavogs,-33.70571429,-4.365714286,-7.41,3,0,1.85,3.6,3.3
2025-07-29,Ecuador Campeonato Serie B  ,22 de Julio,Leones del Norte,-13.89555556,37.77555556,-53.68,1,0,3.9,3.9,1.7
2025-07-29,Bolivia Primera Division  ,Academia del Balompie Boliviano,Independiente Petrolero,-22.35,-18.6,-19.3,1,2,1.95,3.7,3.3
2025-07-29,Primera Division de Paraguay  ,Sportivo Luqueno,FC Nacional Asuncion,-20.34589744,10.34474359,-30.9,2,1,3.2,3.1,2.3
2025-07-29,USL Championship  ,Pittsburgh Riverhounds,Miami FC,-1.744285714,19.66,-33.55,1,1,1.65,3.6,4.75
2025-07-29,Brazil Serie B  ,Criciuma,Cuiaba,-19.88777778,-3.204444444,16.97,1,0,2.05,3.1,4
2025-07-29,Brazil Serie A  ,Gremio (RS),Fortaleza,8.137619048,31.65619048,-33.1,2,1,2.2,3.25,3.3
2025-07-29,Ecuador Campeonato Serie B  ,San Antonio(ECU),CD Vargas Torres,5.718888889,-9.431666667,-7.04,1,0,1.67,3.9,4.1
2025-07-29,Bolivia Primera Division  ,Nacional Potosi,Oriente Petrolero,14.90571429,6.34,24,4,1,1.25,5.25,9.5
2025-07-29,Brazil Serie B  ,Goias,Remo Belem (PA),-5.86,-7.07,12.83,1,1,1.67,3.4,5.75
