Date,Time,League,Home,Away,Diff_HT_P,Diff_Power,OU_Total,M_HT_H,M_HT_A,M_H,M_A,Odd_H,Odd_D,Odd_A,Odd_H_Asi,Asian_Line,Odd_A_Asi,Goals_H_FT,Goals_A_FT
2025-08-27,05:30,Japan Emperor's Cup  ,Nagoya Grampus,Hiroshima Sanfrecce,-0.5899999999999972,-3.7999999999999936,0.5174225590137947,0.4780349642442825,-0.1611845368831663,0.4656283550608855,0.5601073729303201,3.7,3.25,2.1,1.0,0/-0.5,0.8,2.0,4.0
2025-08-27,05:30,Japan Emperor's Cup  ,Machida Zelvia,Kashima Antlers,31.440000000000005,2.130000000000001,0.6774670485267986,0.8442728485543924,-0.0114292073625369,-0.4197260922423821,0.5052988624665162,2.05,3.4,3.6,1.03,0.5,0.78,3.0,0.0
2025-08-27,06:00,Japan Emperor's Cup  ,FC Tokyo,Urawa Red Diamonds,-13.029999999999994,10.72,0.5452124947117426,0.5753982964092642,1.397033848406948,0.8350597281827989,0.1520083904743101,2.35,3.6,2.8,0.98,0/0.5,0.83,2.0,1.0
2025-08-27,06:00,Japan Emperor's Cup  ,SC Sagamihara,Vissel Kobe,13.670000000000002,-20.7,0.324669627175446,0.1365248784189996,-0.2128568713033473,-0.5947027264999545,1.4869003853868883,8.5,4.75,1.36,0.8,-1.5,1.0,1.0,1.0
2025-08-27,06:30,Korean FA Cup  ,Gangwon FC,Jeonbuk Hyundai Motors,-29.96,-42.49,0.5452124947117426,-0.6848922052566393,0.2893248447337513,-0.1868437585506714,1.7066279078205842,3.5,3.4,2.0,0.78,-0.5,1.03,1.0,2.0
2025-08-27,06:30,Korean FA Cup  ,Bucheon FC 1995,Gwangju Football Club,0.8600000000000003,5.8100000000000005,0.5127647975606193,0.6151137563001293,0.2079344753778943,1.404247037564182,0.5580665659435681,3.2,3.3,2.15,0.8,0/-0.5,1.0,1.0,2.0
2025-08-27,11:00,Venezuela Cup  ,Universidad Central de Venezuela,Academia Anzoategui,-35.95,-28.11,0.551564878670254,-0.8491014513277295,1.4275322134174389,-0.8496512588476525,0.4230530854384406,1.73,3.5,4.33,0.95,0.5/1,0.85,1.0,1.0
2025-08-27,11:00,Venezuela Cup  ,Deportivo Tachira,Monagas SC,1.5,21.5,0.1895830784108689,0.9151958849036966,1.4945754527107644,1.1425995469368255,0.2087189971450765,1.73,3.5,4.2,,,,,
2025-08-27,11:00,Venezuela Cup  ,Carabobo FC,Portuguesa FC,-33.3,-25.000000000000004,0.3033244722826276,-0.3605683247425693,0.9601344893673676,-0.0118810567242081,1.098285274419706,1.67,3.6,4.5,0.8,0.5/1,1.0,5.0,0.0
2025-08-27,11:00,Venezuela Cup  ,Deportivo La Guaira,Caracas FC,5.470000000000002,13.799999999999994,0.4596119055218299,0.5454165602161035,-0.7741284534464011,0.6147060750578688,0.211905187416605,1.73,3.6,4.2,0.93,0.5,0.88,1.0,0.0
2025-08-27,16:00,Ecuador Campeonato Serie B  ,Guayaquil City,Leones del Norte,20.5,31.5,0.2446310469477328,0.9799401201625468,0.3370438395294587,0.1390355686828194,-0.4519396239224467,1.91,3.25,3.7,1.0,0.5,0.8,2.0,1.0
2025-08-27,16:00,Colombia Copa Cup  ,Fortaleza F.C,Dep.Independiente Medellin,6.240000000000003,-7.300000000000001,0.3145285952822538,0.1990345843252549,0.2649614752466172,0.8502248140448967,0.4852268148769103,2.7,3.0,2.8,0.78,0/-0.5,1.03,0.0,0.0
2025-08-27,16:00,Ecuador Campeonato Serie B  ,Chacaritas SC,SC Imbabura,41.61,51.95,0.6093833205572384,1.928654466460232,-1.0064561847188105,0.4732948989997575,-2.0460028495049,2.5,3.3,2.5,0.9,0,0.9,2.0,3.0
2025-08-27,18:30,Copa do Brasil  ,Atletico Mineiro,Cruzeiro,-41.0,-6.0,0.368072461568279,-1.8435052485828716,0.5542159453287259,0.0192932503209418,0.5220245745581696,2.4,3.1,3.1,0.93,0/0.5,0.88,0.0,2.0
2025-08-27,19:30,Colombia Copa Cup  ,Atletico Bucaramanga,America de Cali,6.810000000000004,-6.699999999999999,0.4599048076492761,-0.7978016844764094,-1.6959581727598134,-0.6728577141317615,0.3069388386901655,2.88,3.1,2.55,0.88,0,0.93,1.0,0.0
2025-08-27,20:00,Copa LFPB  ,Bolivar,The Strongest,33.400000000000006,7.830000000000003,0.624482405927031,1.035340796039515,-0.29305369738624,0.2274439241597846,-0.2647588257848709,1.7,4.0,4.1,0.88,1,0.93,1.0,0.0
2025-08-27,20:10,Argentine Division 2  ,Deportivo Moron,Gimnasia Mendoza,16.029999999999998,6.7400000000000055,0.902039367869094,1.633777275772092,-0.2076444149780184,1.3152570594268689,0.4565847248090998,2.6,2.8,3.1,1.08,0/0.5,0.73,1.0,0.0
2025-08-27,20:30,Copa do Brasil  ,Atletico Paranaense,Corinthians Paulista (SP),-9.3,-22.510000000000005,0.2180404044219575,-0.9605564775175708,-0.9511018211028966,-1.05957989669,0.2140509605355967,2.63,3.0,2.9,0.78,0,1.03,0.0,1.0
2025-08-27,20:30,Copa do Brasil  ,Vasco da Gama,Botafogo RJ,-3.330000000000002,-18.930000000000007,0.2075031782265392,0.7815004118725951,0.1945168220348163,0.0383092053616804,0.5910434701584907,3.4,2.8,2.5,1.05,0,0.75,1.0,1.0
2025-08-27,20:30,CONCACAF Leagues Cup  ,Inter Miami CF,Orlando City,-10.130000000000004,-29.63,0.6707053430876021,0.5912515634334792,0.8376140553844218,-0.4678699848257899,1.29971985670552,1.9,4.1,3.5,0.8,0.5,1.0,3.0,1.0
2025-08-27,20:30,Colombia Copa Cup  ,Deportivo Pasto,Deportiva Once Caldas,26.480000000000004,23.81,0.551564878670254,1.376376854655996,-1.971670480180992,2.0360143485835027,-1.06601610827776,2.3,3.0,3.4,0.95,0,0.85,1.0,2.0
2025-08-27,21:30,Colombia Copa Cup  ,Atletico Nacional Medellin,Deportes Quindio,16.51,12.940000000000005,0.7497771732511425,1.4492992979482462,-0.3878368253237067,-0.20300304384197,-1.435507912000823,1.2,6.5,13.0,0.85,1.5,0.95,4.0,0.0
2025-08-27,22:45,CONCACAF Leagues Cup  ,Los Angeles Galaxy,Seattle Sounders,6.68,-3.840000000000006,0.5874960148501256,0.4931548212264879,-1.1677111662844606,-0.0797595460895338,-0.7840436544233697,3.0,3.5,2.25,0.83,0/-0.5,0.98,0.0,2.0
