Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Diff_HT_P,Diff_Power,OU_Total
27-07-2025,01:00,NSW Premier League  ,St George Saints,Blacktown City Demons,3.4,3.6,1.85,7.42,2.469999999999999,37.230000000000004
27-07-2025,01:00,NSW Premier League  ,Rockdale City Suns,Sydney United,1.73,3.9,3.6,5.0799999999999965,-9.843333333333327,57.95
27-07-2025,01:00,NSW Premier League  ,Central Coast Mariners (Youth),Sydney FC (Youth),3.2,3.75,1.9,6.136515151515148,14.017424242424237,25.25
27-07-2025,03:00,Australia FFA Cup  ,Perth Glory,Wellington Phoenix,1.75,4.0,3.7,-2.2192307692307587,-13.814615384615381,42.13000000000001
27-07-2025,04:00,Chinese Football Association Yi League  ,Chengdu Rongcheng B,Wenzhou Professional,1.7,3.4,4.33,-31.763888888888886,-1.7749999999999986,2.129999999999999
27-07-2025,04:00,Chinese Football Association Yi League  ,Guangdong Mingtu,Kunming City Star,2.05,3.0,3.4,-4.792222222222218,-20.03666666666667,64.68
27-07-2025,04:00,Chinese Football Association Yi League  ,Quanzhou Yassin,Guangxi Lanhang,1.8,3.2,4.0,-20.528888888888893,-21.47777777777778,41.870000000000005
27-07-2025,04:00,Chinese Football Association Yi League  ,Guizhou Zhucheng Jingji FC,Shenzhen 2028,2.25,3.1,2.88,-29.74,-38.03888888888889,20.94
27-07-2025,04:00,Chinese Football Association Yi League  ,Guangxi Hengchen,Guangzhou dandelion FC,1.45,3.75,6.25,-12.514285714285714,-15.480000000000002,32.699999999999996
27-07-2025,04:00,Chinese Football Association Yi League  ,Ganzhou Ruishi,Wuhan Three Towns B,4.0,3.0,1.9,-1.7246031746031765,-0.821428571428573,23.009999999999994
27-07-2025,06:00,K League 1  ,Gangwon FC,Ulsan HD FC,3.4,3.4,2.1,8.16272727272727,-0.036363636363636154,7.0
27-07-2025,06:00,K League 1  ,Daegu FC,Pohang Steelers,3.75,3.6,1.95,2.750909090909092,-2.690909090909088,30.150000000000002
27-07-2025,06:00,K League 2  ,Suwon Samsung Bluewings,Seoul E-Land FC,1.8,4.0,3.8,-5.393636363636361,10.914545454545454,50.69
27-07-2025,06:00,K League 2  ,Seongnam FC,Jeonnam Dragons,2.88,3.3,2.45,14.533333333333331,-7.440000000000001,12.930000000000003
27-07-2025,06:00,J1 League  ,Urawa Red Diamonds,Avispa Fukuoka,2.25,3.2,3.25,2.474545454545452,29.04333333333333,19.4
27-07-2025,06:00,K League 2  ,Incheon United,Ansan Greeners FC,1.33,4.75,8.5,-21.45727272727273,13.7409090909091,-3.26
27-07-2025,06:00,K League 1  ,Daejeon Citizen,FC Seoul,3.5,3.4,2.15,2.7209090909090916,11.528939393939389,-22.84
27-07-2025,07:00,Chinese Football Association Jia League  ,Dalian Kun City,Qingdao Red Lions,1.5,3.8,5.25,-17.991944444444442,11.640277777777781,8.200000000000001
27-07-2025,07:00,Chinese Super League  ,Qingdao Manatee,Tianjin Tigers,3.3,3.3,2.25,-29.835,1.8625000000000007,26.020000000000003
27-07-2025,07:00,Sweden Superettan  ,Kalmar,Utsiktens BK,1.3,5.0,8.0,-29.85857142857143,0.17142857142857437,36.83
27-07-2025,07:00,Chinese Super League  ,Changchun Yatai,Dalian Zhixing,2.7,3.4,2.55,-38.55444444444444,0.5858333333333314,-6.799999999999997
27-07-2025,07:30,Chinese Football Association Jia League  ,Guangxi Pingguo Football Club,Suzhou Dongwu,3.6,3.4,1.83,-10.227499999999997,-14.418333333333331,47.31999999999999
27-07-2025,07:30,Chinese Football Association Jia League  ,Guangdong GZ-Power,Dingnan Ganlian,1.67,3.5,4.2,-31.25928571428571,-6.031071428571423,20.019999999999996
