Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_H_OP,Odd_D_OP,Odd_A_OP,Odd_H_Asi,Asian_Line,Odd_A_Asi,Odd_Over25,OverLine,Odd_Under25,Result,Games_Home,Games_Away,Aggression_Home_HT,HandScore_Home_HT,Aggression_Away_HT,HandScore_Away_HT,Aggression_Home,HandScore_Home,OverScore_Home,Aggression_Away,HandScore_Away,OverScore_Away,Diff_HT_P,Diff_Power,OU_Total,M_H,MT_H,M_HT_H,MT_HT_H,M_A,MT_A,M_HT_A,MT_HT_A
2860623,2025-11-26,05:00,AFC Champions League Elite,Ulsan HD FC,Buriram United,3.25,3.4,2.05,2.38,3.3,2.7,0.8,-0.5,1.0,1.98,2.5/3,1.83,A,18.0,6.0,0.8333333333333334,-18.330000000000005,0.8333333333333334,10.0,0.8888888888888888,-1.1000000000000014,0.2030499192693116,1.0,10.0,0.5100999795960008,-28.330000000000005,-11.100000000000001,0.7131498988653124,-0.21944591881494374,1.3206763594884352,-1.3136848320649772,-0.6886250618283932,0.10642085320956875,0.0,0.6006124224684322,0.0
2860624,2025-11-26,07:15,AFC Champions League Elite,Shanghai Shenhua,Vissel Kobe,3.2,3.5,2.1,3.7,3.7,1.85,0.9,0/-0.5,0.9,1.9,2.5/3,1.9,A,15.0,18.0,0.9333333333333332,10.69,0.3333333333333333,-7.770000000000003,1.0,-6.700000000000006,0.3876400468214041,0.5555555555555556,10.0,0.2455923110138912,18.46,-16.700000000000006,0.6332323578352953,-0.5601268163780924,-1.7320508075688772,0.4492032970739738,-1.7320508075688772,0.10642085320956875,-1.5615918822928485,-0.2832420539899225,1.7310313183828965
2837510,2025-11-26,09:00,Italy C1,Gubbio,JuventusU23,1.91,3.1,3.75,1.91,3.1,3.75,1.03,0.5,0.78,1.78,2,2.03,D,6.0,7.0,0.5,-13.31,-0.2857142857142857,1.4299999999999988,0.8333333333333334,-30.010000000000005,0.1500357088201714,-0.2857142857142857,2.899999999999995,0.0822171657090154,-14.739999999999998,-32.91,0.2322528745291868,-1.4419780167361373,0.7823109286372314,-0.7497201920693305,1.1066767375834379,-0.4116389485614281,-1.4909439570079375,-0.22619285411825887,0.3352754831789647
2897000,2025-11-26,09:00,Coppa Italia Serie C,Inter Milan U23,Renate AC,1.91,3.2,3.6,1.91,3.2,3.6,0.98,0.5,0.83,1.93,2/2.5,1.88,A,7.0,8.0,0.2857142857142857,-2.8600000000000003,-0.5,38.75,0.5714285714285714,-25.700000000000003,0.1876128068994087,-0.875,30.0,0.0822171657090154,-41.61,-55.7,0.2698299726084241,-1.6617779719378405,0.0,-0.2586201843252613,0.0,0.7388858147203756,0.0,1.3878005920285865,0.0
2897001,2025-11-26,12:00,Coppa Italia Serie C,Ternana,Giugliano,1.48,4.0,5.25,1.48,4.0,5.25,0.9,1,0.9,1.88,2/2.5,1.93,A,7.0,7.0,0.7142857142857143,2.899999999999995,-0.7142857142857143,31.4,0.7142857142857143,7.149999999999999,0.1500357088201714,-1.0,31.4,0.2504542304090258,-28.500000000000004,-24.25,0.4004899392291972,0.14631621706367898,0.0,0.6879234920982611,0.0,0.0,0.0,0.0,0.0
2897002,2025-11-26,12:00,Coppa Italia Serie C,Pro Vercelli,Atalanta U23,2.0,3.3,3.2,2.0,3.3,3.2,0.8,0/0.5,1.0,1.98,2.5,1.83,H,8.0,7.0,0.25,5.0,-0.4285714285714285,7.149999999999999,0.625,22.5,0.1876128068994087,-0.2857142857142857,-7.110000000000003,0.1582169222626268,-2.1499999999999986,29.610000000000003,0.34582972916203547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2897003,2025-11-26,12:00,Coppa Italia Serie C,Potenza,Audace Cerignola,2.25,2.9,3.1,2.25,2.9,3.1,1.0,0/0.5,0.8,1.85,2,1.95,H,7.0,7.0,0.2857142857142857,21.39,0.0,-12.87,0.1428571428571428,45.7,0.1582169222626268,0.0,2.899999999999995,0.2999883213415286,34.26,42.80000000000001,0.4582052436041554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2897004,2025-11-26,12:00,Coppa Italia Serie C,Arezzo,Latina,1.25,4.5,11.0,1.25,4.5,11.0,1.0,1.5/2,0.8,1.95,2.5/3,1.85,A,7.0,7.0,1.0,2.899999999999995,-0.7142857142857143,-7.110000000000003,1.0,11.439999999999998,0.1582169222626268,-0.8571428571428571,21.39,0.1582169222626268,10.009999999999998,-9.950000000000003,0.3164338445252536,0.24761000916460443,0.0,-1.5201877281743417,0.0,0.0,0.0,0.0,0.0
2903314,2025-11-26,12:00,Norway Adeccoligaen,Aalesund FK,Egersunds IK,1.67,3.9,3.9,1.67,3.9,3.9,0.9,0.5/1,0.9,1.9,3,1.9,D,15.0,15.0,0.8666666666666667,8.669999999999996,-0.6,42.01,0.8666666666666667,33.3,0.2679886791947528,-0.7333333333333333,42.01,0.1634449073720273,-33.34,-8.71,0.4314335865667801,1.7246252138866816,1.5936331745614718,0.1409318047609289,1.621769644174123,1.651822945613748,0.3531356498017695,1.7468996818745826,1.6093659879057887
2844440,2025-11-26,12:30,South Africa Premier Soccer League,Orbit College,Stellenbosch FC,3.7,2.88,2.0,4.0,2.9,1.91,0.85,-0.5,0.95,2.05,2,1.75,A,6.0,5.0,0.0,3.3299999999999965,0.2,-40.0,-0.3333333333333333,15.01,0.2999883213415286,0.2,-40.0,0.230719932208837,43.33,55.01,0.5307082535503655,-0.30528063052123927,0.0,-0.21101061517284728,0.0,-1.5071617238482347,0.0,-2.049194051217183,0.0
